Run	Sample	Condition	description_title	organism_part	sample_name
SRR5054458	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5054468	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262294	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262295	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262296	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262297	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262298	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262299	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262300	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262301	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262302	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262303	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262304	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262305	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262306	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262307	SAMN06054386		Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
