Run	Condition	developmental_stage	timepoint
SRR2225869	48h	adult	48h
SRR2225870	48h	adult	48h
SRR2225871	48h	adult	48h
SRR2225872	48h	adult	48h
SRR2225873	48h	adult	48h
SRR2225874	48h	adult	48h
SRR2225875	5 days	adult	5 days
SRR2225876	5 days	adult	5 days
SRR2225877	5 days	adult	5 days
SRR2225878	5 days	adult	5 days
SRR2225879	5 days	adult	5 days
SRR2225880	5 days	adult	5 days
SRR2225863	Upon arrival	adult	Upon arrival
SRR2225864	Upon arrival	adult	Upon arrival
SRR2225865	Upon arrival	adult	Upon arrival
SRR2225866	Upon arrival	adult	Upon arrival
SRR2225867	Upon arrival	adult	Upon arrival
SRR2225868	Upon arrival	adult	Upon arrival
SRR2225857	Upon dissection	adult	Upon dissection
SRR2225858	Upon dissection	adult	Upon dissection
SRR2225859	Upon dissection	adult	Upon dissection
SRR2225860	Upon dissection	adult	Upon dissection
SRR2225861	Upon dissection	adult	Upon dissection
SRR2225862	Upon dissection	adult	Upon dissection
