Run	Condition	collection_date	description_title	geographic_location	host	isolate	organism_part	sample_name
SRR5947748	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947749	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947750	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947751	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947752	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947753	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947754	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947755	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947756	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947757	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947758	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
SRR5947759	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3	2017-08	The highly virulent AmA3 strain of Bursaphelenchus xylophilus	China:Maanshan city	Pinus thunbergii	AMA3	a mixture of adults and juveniles	bx-A1 bx-A2 bx-A3 bx-B1 bx-B2 bx-B3 bx-C1 bx-C2 bx-C3 bx-D1 bx-D2 bx-D3
