Run	Sample	Condition	developmental_stage	sex	strain	organism_part
SRR566365	SRS361800		all stages Ce	hermaphrodite	N2	organism
SRR566366	SRS361801		L4 larva Ce	male	PS4730	linker cell
SRR566367	SRS361805		larva Ce	hermaphrodite	N2	organism
SRR566368	SRS361806		L3 larva Ce	male	PS4730	linker cell
SRR566369	SRS361806		L3 larva Ce	male	PS4730	linker cell
SRR566370	SRS361807		L4 larva Ce	male	PS4730	linker cell
SRR566371	SRS361808		L4 larva Ce	male	PS4730	linker cell
SRR566372	SRS361809		L4 larva Ce	male	PS4730	linker cell
SRR566373	SRS361810		L4 larva Ce	male	PS4730	linker cell
SRR566374	SRS361811		L4 larva Ce	male	PS4730	linker cell
SRR566375	SRS361812		L4 larva Ce	male	PS4730	linker cell
SRR566376	SRS361813		L3 larva Ce	male	PS4730	linker cell
SRR566377	SRS361814		L3 larva Ce	male	PS4730	linker cell
SRR566378	SRS361815		L3 larva Ce	male	PS4730	linker cell
SRR566379	SRS361816		L3 larva Ce	male	PS4730	linker cell
SRR566380	SRS361817		L3 larva Ce	male	PS4730	linker cell
SRR566381	SRS361818		L4 larva Ce	male	PS4730	linker cell
SRR566382	SRS361819		L4 larva Ce	male	PS4730	linker cell
SRR566383	SRS361820		L4 larva Ce	male	PS4730	linker cell
SRR566385	SRS361821		L4 larva Ce	male	PS4730	linker cell
SRR566409	SRS361822		L4 larva Ce	male	PS4730	linker cell
