Run	Condition	culture_conditions	developmental_stage	strain
ERR337963	Activated protoscolex, GH09		Activated protoscolex	GH09
ERR337975	Activated protoscolex, GH09		Activated protoscolex	GH09
ERR337939	Activated protoscolex, Ingrid		Activated protoscolex	Ingrid
ERR337951	Activated protoscolex, Ingrid		Activated protoscolex	Ingrid
ERR337914	Activated protoscolex, MS10		Activated protoscolex	MS10
ERR337927	Activated protoscolex, MS10		Activated protoscolex	MS10
ERR337962	Non-activated protoscolex, GH09		Non-activated protoscolex	GH09
ERR337974	Non-activated protoscolex, GH09		Non-activated protoscolex	GH09
ERR337938	Non-activated protoscolex, Ingrid		Non-activated protoscolex	Ingrid
ERR337950	Non-activated protoscolex, Ingrid		Non-activated protoscolex	Ingrid
ERR337913	Non-activated protoscolex, MS10		Non-activated protoscolex	MS10
ERR337926	Non-activated protoscolex, MS10		Non-activated protoscolex	MS10
ERR337954	Primary cells 11 days (stage 2), G8065	Primary cells 11 days (stage 2)		G8065
ERR337966	Primary cells 11 days (stage 2), G8065	Primary cells 11 days (stage 2)		G8065
ERR337931	Primary cells 16 days (stage 3), H95	Primary cells 16 days (stage 3)		H95
ERR337943	Primary cells 16 days (stage 3), H95	Primary cells 16 days (stage 3)		H95
ERR337955	Primary cells 21 days (stage 3), Ingrid	Primary cells 21 days (stage 3)		Ingrid
ERR337967	Primary cells 21 days (stage 3), Ingrid	Primary cells 21 days (stage 3)		Ingrid
ERR337905	Primary cells 22 days (stage 3), 7030	Primary cells 22 days (stage 3)		7030
ERR337918	Primary cells 22 days (stage 3), 7030	Primary cells 22 days (stage 3)		7030
ERR337953	Primary cells 48 h  (stage 1), G8065	Primary cells 48 h  (stage 1)		G8065
ERR337965	Primary cells 48 h  (stage 1), G8065	Primary cells 48 h  (stage 1)		G8065
ERR337903	Primary cells 48 h (stage 1), H95	Primary cells 48 h (stage 1)		H95
ERR337916	Primary cells 48 h (stage 1), H95	Primary cells 48 h (stage 1)		H95
ERR337929	Primary cells 48 h (stage 1), Ingrid	Primary cells 48 h (stage 1)		Ingrid
ERR337941	Primary cells 48 h (stage 1), Ingrid	Primary cells 48 h (stage 1)		Ingrid
ERR337904	Primary cells 7 days (stage 2), 7030	Primary cells 7 days (stage 2)		7030
ERR337917	Primary cells 7 days (stage 2), 7030	Primary cells 7 days (stage 2)		7030
ERR337930	Primary cells 9 days (stage 2), H95	Primary cells 9 days (stage 2)		H95
ERR337942	Primary cells 9 days (stage 2), H95	Primary cells 9 days (stage 2)		H95
ERR337933	aerobic co-culture with Rh feeder cells, Metacestode, H95	aerobic co-culture with Rh feeder cells	Metacestode	H95
ERR337945	aerobic co-culture with Rh feeder cells, Metacestode, H95	aerobic co-culture with Rh feeder cells	Metacestode	H95
ERR337957	aerobic co-culture with Rh feeder cells, Metacestode, H95	aerobic co-culture with Rh feeder cells	Metacestode	H95
ERR337969	aerobic co-culture with Rh feeder cells, Metacestode, H95	aerobic co-culture with Rh feeder cells	Metacestode	H95
ERR337907	aerobic co-culture with Rh feeder cells, Metacestode, Ingrid	aerobic co-culture with Rh feeder cells	Metacestode	Ingrid
ERR337920	aerobic co-culture with Rh feeder cells, Metacestode, Ingrid	aerobic co-culture with Rh feeder cells	Metacestode	Ingrid
ERR337911	axenic culture with hydroxyurea, Metacestode, Ingrid	axenic culture with hydroxyurea	Metacestode	Ingrid
ERR337924	axenic culture with hydroxyurea, Metacestode, Ingrid	axenic culture with hydroxyurea	Metacestode	Ingrid
ERR337936	axenic culture with hydroxyurea, Metacestode, Ingrid	axenic culture with hydroxyurea	Metacestode	Ingrid
ERR337948	axenic culture with hydroxyurea, Metacestode, Ingrid	axenic culture with hydroxyurea	Metacestode	Ingrid
ERR337960	axenic culture with hydroxyurea, Metacestode, Ingrid	axenic culture with hydroxyurea	Metacestode	Ingrid
ERR337972	axenic culture with hydroxyurea, Metacestode, Ingrid	axenic culture with hydroxyurea	Metacestode	Ingrid
ERR337910	axenic culture, Metacestode, Ingrid	axenic culture	Metacestode	Ingrid
ERR337923	axenic culture, Metacestode, Ingrid	axenic culture	Metacestode	Ingrid
ERR337935	axenic culture, Metacestode, Ingrid	axenic culture	Metacestode	Ingrid
ERR337947	axenic culture, Metacestode, Ingrid	axenic culture	Metacestode	Ingrid
ERR337959	axenic culture, Metacestode, Ingrid	axenic culture	Metacestode	Ingrid
ERR337971	axenic culture, Metacestode, Ingrid	axenic culture	Metacestode	Ingrid
ERR337934	extracted from jird, Metacestode, H95	extracted from jird	Metacestode	H95
ERR337946	extracted from jird, Metacestode, H95	extracted from jird	Metacestode	H95
ERR337958	extracted from jird, Metacestode, H95	extracted from jird	Metacestode	H95
ERR337970	extracted from jird, Metacestode, H95	extracted from jird	Metacestode	H95
ERR337956	vesicle without brood chambers, Metacestode, GT10	vesicle without brood chambers	Metacestode	GT10
ERR337968	vesicle without brood chambers, Metacestode, GT10	vesicle without brood chambers	Metacestode	GT10
ERR337932	vesicle without brood chambers, Metacestode, H95	vesicle without brood chambers	Metacestode	H95
ERR337944	vesicle without brood chambers, Metacestode, H95	vesicle without brood chambers	Metacestode	H95
ERR337906	vesicle without brood chambers, Metacestode, Ingrid	vesicle without brood chambers	Metacestode	Ingrid
ERR337919	vesicle without brood chambers, Metacestode, Ingrid	vesicle without brood chambers	Metacestode	Ingrid
