Run	Condition	developmental_stage	sex	strain
ERR411626	CAVR			CAVR
ERR411627	CAVR			CAVR
ERR411628	CAVR			CAVR
ERR1106814	ISE			ISE
ERR1106815	ISE			ISE
ERR1106816	ISE			ISE
ERR1106817	ISE			ISE
ERR1106818	ISE			ISE
ERR1106819	ISE			ISE
ERR1106820	ISE			ISE
ERR1106821	ISE			ISE
ERR1106822	ISE			ISE
ERR1106823	ISE			ISE
ERR1106824	ISE			ISE
ERR1106825	ISE			ISE
ERR1106826	ISE			ISE
ERR1106827	ISE			ISE
ERR1106828	ISE			ISE
ERR1106829	ISE			ISE
ERR1106830	ISE			ISE
ERR1106831	ISE			ISE
ERR1106832	ISE			ISE
ERR1106833	ISE			ISE
ERR1106834	ISE			ISE
ERR1106835	ISE			ISE
ERR1106836	ISE			ISE
ERR411602	ISE			ISE
ERR411603	ISE			ISE
ERR411604	ISE			ISE
ERR411605	ISE			ISE
ERR411606	ISE			ISE
ERR411607	ISE			ISE
ERR411608	ISE			ISE
ERR411609	ISE			ISE
ERR411613	ISE			ISE
ERR411614	ISE			ISE
ERR411615	ISE			ISE
ERR411623	ISE			ISE
ERR411624	ISE			ISE
ERR411625	ISE			ISE
ERR229531	L1, inbred ISE	L1		inbred ISE
ERR229532	L1, inbred ISE	L1		inbred ISE
ERR229533	L1, inbred ISE	L1		inbred ISE
ERR229534	L4, inbred ISE	L4		inbred ISE
ERR229535	L4, inbred ISE	L4		inbred ISE
ERR229536	L4, inbred ISE	L4		inbred ISE
ERR411616	MHco3(ISE)			MHco3(ISE)
ERR411617	MHco3(ISE)			MHco3(ISE)
ERR411618	Unannotated			Unannotated
ERR411619	Unannotated			Unannotated
ERR411629	WRS			WRS
ERR411630	WRS			WRS
ERR411631	WRS			WRS
ERR229537	adult, female, inbred ISE	adult	female	inbred ISE
ERR229538	adult, female, inbred ISE	adult	female	inbred ISE
ERR229539	adult, female, inbred ISE	adult	female	inbred ISE
ERR229540	adult, male, inbred ISE	adult	male	inbred ISE
ERR229541	adult, male, inbred ISE	adult	male	inbred ISE
ERR229542	adult, male, inbred ISE	adult	male	inbred ISE
ERR229551	dissected adult female gut, ISE	dissected adult female gut		ISE
ERR229549	dissected adult female gut, MHco3(ISE)	dissected adult female gut		MHco3(ISE)
ERR229550	dissected adult female gut, MHco3(ISE)	dissected adult female gut		MHco3(ISE)
ERR229528	eggs, inbred ISE	eggs		inbred ISE
ERR229529	eggs, inbred ISE	eggs		inbred ISE
ERR229530	eggs, inbred ISE	eggs		inbred ISE
ERR229543	inbred ISE			inbred ISE
ERR229544	inbred ISE			inbred ISE
ERR229545	inbred ISE			inbred ISE
ERR411620	inbred ISE			inbred ISE
ERR411621	inbred ISE			inbred ISE
ERR411622	inbred ISE			inbred ISE
ERR229546	sheathed L3, inbred ISE	sheathed L3		inbred ISE
ERR229547	sheathed L3, inbred ISE	sheathed L3		inbred ISE
ERR229548	sheathed L3, inbred ISE	sheathed L3		inbred ISE
