Run	Condition	developmental_stage	organism_part	strain
ERR225722	Adult, mid-section	adult	mid strobila region	Nottingham
ERR225723	Adult, mid-section	adult	mid strobila region	Nottingham
ERR225724	Adult, mid-section	adult	mid strobila region	Nottingham
ERR225725	Adult, posterior	adult	posterior strobila region	Nottingham
ERR225726	Adult, posterior	adult	posterior strobila region	Nottingham
ERR225727	Adult, posterior	adult	posterior strobila region	Nottingham
ERR225719	Adult, scolex	adult	neck/scolex region	Nottingham
ERR225720	Adult, scolex	adult	neck/scolex region	Nottingham
ERR225721	Adult, scolex	adult	neck/scolex region	Nottingham
ERR225728	Adult, whole	adult	whole organism	Nottingham
ERR225729	Adult, whole	adult	whole organism	Nottingham
ERR225730	Adult, whole	adult	whole organism	Nottingham
ERR233392	Unannotated			Nottingham
ERR337915	mid-metamorphosis larvae	larva	whole organism	Nottingham
ERR337928	mid-metamorphosis larvae	larva	whole organism	Nottingham
ERR337940	mid-metamorphosis larvae	larva	whole organism	Nottingham
ERR337952	mid-metamorphosis larvae	larva	whole organism	Nottingham
ERR337964	mid-metamorphosis larvae	larva	whole organism	Nottingham
ERR337976	mid-metamorphosis larvae	larva	whole organism	Nottingham
