Run	Condition	age	developmental_stage	organism_part	sex	strain	treatment
SRR5876293	1 month, non-cut	1 month	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876294	1 month, non-cut	1 month	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876295	1 month, non-cut	1 month	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876296	1 month, non-cut	1 month	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876297	1 month, non-cut	1 month	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876298	1 month, non-cut	1 month	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876305	10 months, multiple-cut	10 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876307	10 months, multiple-cut	10 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876308	10 months, multiple-cut	10 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876271	10 months, non-cut	10 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876272	10 months, non-cut	10 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876278	10 months, non-cut	10 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876303	10 months, once-cut	10 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876304	10 months, once-cut	10 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876306	10 months, once-cut	10 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876285	12 months, multiple-cut	12 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876286	12 months, multiple-cut	12 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876287	12 months, multiple-cut	12 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876302	12 months, non-cut	12 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876309	12 months, non-cut	12 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876310	12 months, non-cut	12 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876283	12 months, once-cut	12 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876284	12 months, once-cut	12 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876301	12 months, once-cut	12 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876259	2 months, non-cut	2 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876260	2 months, non-cut	2 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876291	2 months, non-cut	2 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876292	2 months, non-cut	2 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876299	2 months, non-cut	2 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876300	2 months, non-cut	2 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876267	26 months, multiple-cut	26 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876268	26 months, multiple-cut	26 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876269	26 months, multiple-cut	26 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876288	26 months, non-cut	26 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876289	26 months, non-cut	26 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876290	26 months, non-cut	26 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876270	26 months, once-cut	26 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876281	26 months, once-cut	26 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876282	26 months, once-cut	26 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876257	4 months, non-cut	4 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876258	4 months, non-cut	4 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876264	4 months, non-cut	4 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876261	4 months, once-cut	4 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876262	4 months, once-cut	4 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876263	4 months, once-cut	4 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876277	6 months, multiple-cut	6 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876279	6 months, multiple-cut	6 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876280	6 months, multiple-cut	6 months	adult	whole organism	hermaphrodite	DV1	multiple-cut
SRR5876265	6 months, non-cut	6 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876266	6 months, non-cut	6 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876275	6 months, non-cut	6 months	adult	whole organism	hermaphrodite	DV1	non-cut
SRR5876273	6 months, once-cut	6 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876274	6 months, once-cut	6 months	adult	whole organism	hermaphrodite	DV1	once-cut
SRR5876276	6 months, once-cut	6 months	adult	whole organism	hermaphrodite	DV1	once-cut
