Run	Condition	age	organism_part	sex	strain
SRR4267990	14 days, female	14 days	whole organism	female	Anhui
SRR4289346	14 days, female	14 days	whole organism	female	Anhui
SRR4292306	14 days, female	14 days	whole organism	female	Anhui
SRR4267991	14 days, male	14 days	whole organism	male	Anhui
SRR4289348	14 days, male	14 days	whole organism	male	Anhui
SRR4292307	14 days, male	14 days	whole organism	male	Anhui
SRR4279491	16 days, female	16 days	whole organism	female	Anhui
SRR4289349	16 days, female	16 days	whole organism	female	Anhui
SRR4296931	16 days, female	16 days	whole organism	female	Anhui
SRR4279496	16 days, male	16 days	whole organism	male	Anhui
SRR4289350	16 days, male	16 days	whole organism	male	Anhui
SRR4296932	16 days, male	16 days	whole organism	male	Anhui
SRR4279833	18 days, female	18 days	whole organism	female	Anhui
SRR4289351	18 days, female	18 days	whole organism	female	Anhui
SRR4296934	18 days, female	18 days	whole organism	female	Anhui
SRR4279840	18 days, male	18 days	whole organism	male	Anhui
SRR4289352	18 days, male	18 days	whole organism	male	Anhui
SRR4296935	18 days, male	18 days	whole organism	male	Anhui
SRR4279841	20 days, female	20 days	whole organism	female	Anhui
SRR4289353	20 days, female	20 days	whole organism	female	Anhui
SRR4296936	20 days, female	20 days	whole organism	female	Anhui
SRR4279842	20 days, male	20 days	whole organism	male	Anhui
SRR4289354	20 days, male	20 days	whole organism	male	Anhui
SRR4296937	20 days, male	20 days	whole organism	male	Anhui
SRR4292141	22 days, female	22 days	whole organism	female	Anhui
SRR4292206	22 days, female	22 days	whole organism	female	Anhui
SRR4296938	22 days, female	22 days	whole organism	female	Anhui
SRR4289333	22 days, male	22 days	whole organism	male	Anhui
SRR4292231	22 days, male	22 days	whole organism	male	Anhui
SRR4296939	22 days, male	22 days	whole organism	male	Anhui
SRR4289339	24 days, female	24 days	whole organism	female	Anhui
SRR4292292	24 days, female	24 days	whole organism	female	Anhui
SRR4296940	24 days, female	24 days	whole organism	female	Anhui
SRR4289340	24 days, male	24 days	whole organism	male	Anhui
SRR4292293	24 days, male	24 days	whole organism	male	Anhui
SRR4296941	24 days, male	24 days	whole organism	male	Anhui
SRR4289341	26 days, female	26 days	whole organism	female	Anhui
SRR4292299	26 days, female	26 days	whole organism	female	Anhui
SRR4296942	26 days, female	26 days	whole organism	female	Anhui
SRR4289343	26 days, male	26 days	whole organism	male	Anhui
SRR4292300	26 days, male	26 days	whole organism	male	Anhui
SRR4296943	26 days, male	26 days	whole organism	male	Anhui
SRR4289344	28 days, female	28 days	whole organism	female	Anhui
SRR4292301	28 days, female	28 days	whole organism	female	Anhui
SRR4296944	28 days, female	28 days	whole organism	female	Anhui
SRR4289345	28 days, male	28 days	whole organism	male	Anhui
SRR4292302	28 days, male	28 days	whole organism	male	Anhui
SRR4296945	28 days, male	28 days	whole organism	male	Anhui
