Run	Condition	developmental_stage	genotype	organism_part	sex	strain_background
SRR6439813	Sj-pp1c KD, female	21 days post infection (d.p.i.)	Sj-pp1c KD	whole organism	female	Jiangsu
SRR6439814	Sj-pp1c KD, female	21 days post infection (d.p.i.)	Sj-pp1c KD	whole organism	female	Jiangsu
SRR6439815	Sj-pp1c KD, female	21 days post infection (d.p.i.)	Sj-pp1c KD	whole organism	female	Jiangsu
SRR6439816	Sj-pp1c KD, male	21 days post infection (d.p.i.)	Sj-pp1c KD	whole organism	male	Jiangsu
SRR6439817	Sj-pp1c KD, male	21 days post infection (d.p.i.)	Sj-pp1c KD	whole organism	male	Jiangsu
SRR6439818	Sj-pp1c KD, male	21 days post infection (d.p.i.)	Sj-pp1c KD	whole organism	male	Jiangsu
SRR6439807	wild type, female	21 days post infection (d.p.i.)	wild type	whole organism	female	Jiangsu
SRR6439808	wild type, female	21 days post infection (d.p.i.)	wild type	whole organism	female	Jiangsu
SRR6439809	wild type, female	21 days post infection (d.p.i.)	wild type	whole organism	female	Jiangsu
SRR6439810	wild type, male	21 days post infection (d.p.i.)	wild type	whole organism	male	Jiangsu
SRR6439811	wild type, male	21 days post infection (d.p.i.)	wild type	whole organism	male	Jiangsu
SRR6439812	wild type, male	21 days post infection (d.p.i.)	wild type	whole organism	male	Jiangsu
