Run	Sample	Condition	developmental_stage	infection	organism_part	sex	strain
ERR506073	SAMEA2395933	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR506097	SAMEA2395933	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667051	SAMEA2395933	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667075	SAMEA2395933	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667099	SAMEA2395933	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667123	SAMEA2395933	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR506074	SAMEA2395934	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR506098	SAMEA2395934	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667052	SAMEA2395934	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667076	SAMEA2395934	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667100	SAMEA2395934	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667124	SAMEA2395934	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR506075	SAMEA2395935	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR506099	SAMEA2395935	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667053	SAMEA2395935	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667077	SAMEA2395935	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667101	SAMEA2395935	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR667125	SAMEA2395935	ovaries, mixed sex infection	adult	mixed sex	ovaries	female	Liberia
ERR506071	SAMEA2395931	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR506095	SAMEA2395931	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667049	SAMEA2395931	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667073	SAMEA2395931	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667097	SAMEA2395931	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667121	SAMEA2395931	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR506072	SAMEA2395932	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR506096	SAMEA2395932	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667050	SAMEA2395932	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667074	SAMEA2395932	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667098	SAMEA2395932	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR667122	SAMEA2395932	ovaries, single sex infection	adult	single sex	ovaries	female	Liberia
ERR506079	SAMEA2395939	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR506103	SAMEA2395939	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667057	SAMEA2395939	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667081	SAMEA2395939	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667105	SAMEA2395939	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667129	SAMEA2395939	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR506080	SAMEA2395940	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR506104	SAMEA2395940	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667058	SAMEA2395940	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667082	SAMEA2395940	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667106	SAMEA2395940	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667130	SAMEA2395940	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR506081	SAMEA2395941	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR506105	SAMEA2395941	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667059	SAMEA2395941	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667083	SAMEA2395941	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667107	SAMEA2395941	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR667131	SAMEA2395941	testes, mixed sex infection	adult	mixed sex	testes	male	Liberia
ERR506077	SAMEA2395937	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR506101	SAMEA2395937	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667055	SAMEA2395937	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667079	SAMEA2395937	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667103	SAMEA2395937	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667127	SAMEA2395937	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR506078	SAMEA2395938	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR506102	SAMEA2395938	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667056	SAMEA2395938	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667080	SAMEA2395938	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667104	SAMEA2395938	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667128	SAMEA2395938	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR506085	SAMEA2395945	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR506109	SAMEA2395945	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667063	SAMEA2395945	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667087	SAMEA2395945	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667111	SAMEA2395945	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR667135	SAMEA2395945	testes, single sex infection	adult	single sex	testes	male	Liberia
ERR506082	SAMEA2395942	whole female, mixed sex infection	adult	mixed sex	whole organism	female	Liberia
ERR506106	SAMEA2395942	whole female, mixed sex infection	adult	mixed sex	whole organism	female	Liberia
ERR667060	SAMEA2395942	whole female, mixed sex infection	adult	mixed sex	whole organism	female	Liberia
ERR667084	SAMEA2395942	whole female, mixed sex infection	adult	mixed sex	whole organism	female	Liberia
ERR667108	SAMEA2395942	whole female, mixed sex infection	adult	mixed sex	whole organism	female	Liberia
