Run	Condition	organism_part
SRR3211868		whole organism
SRR3216389		whole organism
SRR3223426		whole organism
SRR3223427		whole organism
SRR3223428		whole organism
SRR3223429		whole organism
SRR3223430		whole organism
SRR3223431		whole organism
SRR3223432		whole organism
SRR3223433		whole organism
SRR3223434		whole organism
SRR3223435		whole organism
SRR3223436		whole organism
SRR3223439		whole organism
SRR3223443		whole organism
SRR3223444		whole organism
SRR3223445		whole organism
SRR3223446		whole organism
SRR3223447		whole organism
SRR3223448		whole organism
