Run	Condition	concentration	organism_part	sex	strain	treatment
SRR5170160	BH female		whole organism	female	BH	
SRR5170161	BH female		whole organism	female	BH	
SRR5170162	BH female		whole organism	female	BH	
SRR5170157	BH female, GSK343 at 20uM	20uM	whole organism	female	BH	GSK343
SRR5170158	BH female, GSK343 at 20uM	20uM	whole organism	female	BH	GSK343
SRR5170159	BH female, GSK343 at 20uM	20uM	whole organism	female	BH	GSK343
SRR5170166	BH male		whole organism	male	BH	
SRR5170167	BH male		whole organism	male	BH	
SRR5170168	BH male		whole organism	male	BH	
SRR5170163	BH male, GSK343 at 20uM	20uM	whole organism	male	BH	GSK343
SRR5170164	BH male, GSK343 at 20uM	20uM	whole organism	male	BH	GSK343
SRR5170165	BH male, GSK343 at 20uM	20uM	whole organism	male	BH	GSK343
SRR5170178	Puerto Rican female		whole organism	female	Puerto Rican	
SRR5170179	Puerto Rican female		whole organism	female	Puerto Rican	
SRR5170180	Puerto Rican female		whole organism	female	Puerto Rican	
SRR5170175	Puerto Rican female, TH65 at 05uM	05uM	whole organism	female	Puerto Rican	TH65
SRR5170176	Puerto Rican female, TH65 at 05uM	05uM	whole organism	female	Puerto Rican	TH65
SRR5170177	Puerto Rican female, TH65 at 05uM	05uM	whole organism	female	Puerto Rican	TH65
SRR5170172	Puerto Rican female, TH65 at 10uM	10uM	whole organism	female	Puerto Rican	TH65
SRR5170173	Puerto Rican female, TH65 at 10uM	10uM	whole organism	female	Puerto Rican	TH65
SRR5170174	Puerto Rican female, TH65 at 10uM	10uM	whole organism	female	Puerto Rican	TH65
SRR5170169	Puerto Rican female, TH65 at 20uM	20uM	whole organism	female	Puerto Rican	TH65
SRR5170170	Puerto Rican female, TH65 at 20uM	20uM	whole organism	female	Puerto Rican	TH65
SRR5170171	Puerto Rican female, TH65 at 20uM	20uM	whole organism	female	Puerto Rican	TH65
SRR5170190	Puerto Rican male		whole organism	male	Puerto Rican	
SRR5170191	Puerto Rican male		whole organism	male	Puerto Rican	
SRR5170192	Puerto Rican male		whole organism	male	Puerto Rican	
SRR5170187	Puerto Rican male, TH65 at 05uM	05uM	whole organism	male	Puerto Rican	TH65
SRR5170188	Puerto Rican male, TH65 at 05uM	05uM	whole organism	male	Puerto Rican	TH65
SRR5170189	Puerto Rican male, TH65 at 05uM	05uM	whole organism	male	Puerto Rican	TH65
SRR5170184	Puerto Rican male, TH65 at 10uM	10uM	whole organism	male	Puerto Rican	TH65
SRR5170185	Puerto Rican male, TH65 at 10uM	10uM	whole organism	male	Puerto Rican	TH65
SRR5170186	Puerto Rican male, TH65 at 10uM	10uM	whole organism	male	Puerto Rican	TH65
SRR5170181	Puerto Rican male, TH65 at 20uM	20uM	whole organism	male	Puerto Rican	TH65
SRR5170182	Puerto Rican male, TH65 at 20uM	20uM	whole organism	male	Puerto Rican	TH65
SRR5170183	Puerto Rican male, TH65 at 20uM	20uM	whole organism	male	Puerto Rican	TH65
