Run	Condition	timepoint	treatment
SRR3410492	0 hours	0 hours	
SRR3410493	0 hours	0 hours	
SRR3410494	0 hours	0 hours	
SRR3410480	24 hours, 6000 rads	24 hours	6000 rads
SRR3410481	24 hours, 6000 rads	24 hours	6000 rads
SRR3410482	24 hours, 6000 rads	24 hours	6000 rads
SRR3410483	48 hours, 6000 rads	48 hours	6000 rads
SRR3410484	48 hours, 6000 rads	48 hours	6000 rads
SRR3410485	48 hours, 6000 rads	48 hours	6000 rads
SRR3410486	72 hours, 6000 rads	72 hours	6000 rads
SRR3410487	72 hours, 6000 rads	72 hours	6000 rads
SRR3410488	72 hours, 6000 rads	72 hours	6000 rads
SRR3410489	96 hours, 6000 rads	96 hours	6000 rads
SRR3410490	96 hours, 6000 rads	96 hours	6000 rads
SRR3410491	96 hours, 6000 rads	96 hours	6000 rads
