Run	Condition	organism_part	rnai	timepoint
SRR3410502	pax5, 12 days	whole_organism	pax5	12 days
SRR3410503	pax5, 12 days	whole_organism	pax5	12 days
SRR3410505	pax5, 12 days	whole_organism	pax5	12 days
SRR3410506	pax5, 12 days	whole_organism	pax5	12 days
SRR3410508	pax5, 18 days	whole_organism	pax5	18 days
SRR3410509	pax5, 18 days	whole_organism	pax5	18 days
SRR3410511	pax5, 18 days	whole_organism	pax5	18 days
SRR3410512	pax5, 18 days	whole_organism	pax5	18 days
SRR3410496	pax5, 6 days	whole_organism	pax5	6 days
SRR3410497	pax5, 6 days	whole_organism	pax5	6 days
SRR3410499	pax5, 6 days	whole_organism	pax5	6 days
SRR3410500	pax5, 6 days	whole_organism	pax5	6 days
SRR3410520	sox8, 12 days	whole_organism	sox8	12 days
SRR3410521	sox8, 12 days	whole_organism	sox8	12 days
SRR3410523	sox8, 12 days	whole_organism	sox8	12 days
SRR3410524	sox8, 12 days	whole_organism	sox8	12 days
SRR3410526	sox8, 18 days	whole_organism	sox8	18 days
SRR3410527	sox8, 18 days	whole_organism	sox8	18 days
SRR3410529	sox8, 18 days	whole_organism	sox8	18 days
SRR3410531	sox8, 18 days	whole_organism	sox8	18 days
SRR3410514	sox8, 6 days	whole_organism	sox8	6 days
SRR3410515	sox8, 6 days	whole_organism	sox8	6 days
SRR3410517	sox8, 6 days	whole_organism	sox8	6 days
SRR3410518	sox8, 6 days	whole_organism	sox8	6 days
SRR3410538	unc22, 12 days	whole_organism	unc22	12 days
SRR3410540	unc22, 12 days	whole_organism	unc22	12 days
SRR3410541	unc22, 12 days	whole_organism	unc22	12 days
SRR3410543	unc22, 12 days	whole_organism	unc22	12 days
SRR3410544	unc22, 18 days	whole_organism	unc22	18 days
SRR3410546	unc22, 18 days	whole_organism	unc22	18 days
SRR3410547	unc22, 18 days	whole_organism	unc22	18 days
SRR3410549	unc22, 18 days	whole_organism	unc22	18 days
SRR3410532	unc22, 6 days	whole_organism	unc22	6 days
SRR3410534	unc22, 6 days	whole_organism	unc22	6 days
SRR3410535	unc22, 6 days	whole_organism	unc22	6 days
SRR3410537	unc22, 6 days	whole_organism	unc22	6 days
SRR3410556	zfp1, 12 days	whole_organism	zfp1	12 days
SRR3410558	zfp1, 12 days	whole_organism	zfp1	12 days
SRR3410559	zfp1, 12 days	whole_organism	zfp1	12 days
SRR3410561	zfp1, 12 days	whole_organism	zfp1	12 days
SRR3410562	zfp1, 18 days	whole_organism	zfp1	18 days
SRR3410564	zfp1, 18 days	whole_organism	zfp1	18 days
SRR3410565	zfp1, 18 days	whole_organism	zfp1	18 days
SRR3410567	zfp1, 18 days	whole_organism	zfp1	18 days
SRR3410550	zfp1, 6 days	whole_organism	zfp1	6 days
SRR3410552	zfp1, 6 days	whole_organism	zfp1	6 days
SRR3410553	zfp1, 6 days	whole_organism	zfp1	6 days
SRR3410555	zfp1, 6 days	whole_organism	zfp1	6 days
