Run	Condition	organism_part	strain	timepoint	treatment
SRR3465511	12h regenerate	tail	CIW4	12h	postpharyngeal cut
SRR3465512	12h regenerate	tail	CIW4	12h	postpharyngeal cut
SRR3465513	12h regenerate	tail	CIW4	12h	postpharyngeal cut
SRR3465518	36h regenerate	tail	CIW4	36h	postpharyngeal cut
SRR3465519	36h regenerate	tail	CIW4	36h	postpharyngeal cut
SRR3465521	36h regenerate	tail	CIW4	36h	postpharyngeal cut
SRR3465520	72h regenerate	tail	CIW4	72h	postpharyngeal cut
SRR3465522	72h regenerate	tail	CIW4	72h	postpharyngeal cut
SRR3465527	72h regenerate	tail	CIW4	72h	postpharyngeal cut
SRR3465434	Cut control	tail	CIW4		postpharyngeal cut
SRR3465435	Cut control	tail	CIW4		postpharyngeal cut
SRR3465502	Cut control	tail	CIW4		postpharyngeal cut
SRR3465425	Whole control	whole organism	CIW4		
SRR3465432	Whole control	whole organism	CIW4		
SRR3465433	Whole control	whole organism	CIW4		
