Run	Condition	developmental_stage	organism_part	strain	timepoint	treatment
SRR5028273	12h in vitro activated IJ	infective juvenile (IJ)	whole organism	ALL	12h	in vitro activated
SRR5028274	12h in vitro activated IJ	infective juvenile (IJ)	whole organism	ALL	12h	in vitro activated
SRR5028275	12h in vitro activated IJ	infective juvenile (IJ)	whole organism	ALL	12h	in vitro activated
SRR5028279	12h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	12h	in vivo activated
SRR5028280	12h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	12h	in vivo activated
SRR5028281	12h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	12h	in vivo activated
SRR5028282	15h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	15h	in vivo activated
SRR5028283	15h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	15h	in vivo activated
SRR5028284	15h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	15h	in vivo activated
SRR5028276	9h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	9h	in vivo activated
SRR5028277	9h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	9h	in vivo activated
SRR5028278	9h in vivo activated IJ	infective juvenile (IJ)	whole organism	ALL	9h	in vivo activated
SRR5028270	nonactivated IJ	infective juvenile (IJ)	whole organism	ALL	0h	nonactivated
SRR5028271	nonactivated IJ	infective juvenile (IJ)	whole organism	ALL	0h	nonactivated
SRR5028272	nonactivated IJ	infective juvenile (IJ)	whole organism	ALL	0h	nonactivated
