Run	Condition	developmental_stage	organism_part	strain	timepoint	treatment
SRR7768343	Infective Juvenile	Infective Juvenile (IJ)	whole organism	SN		
SRR7768344	Infective Juvenile	Infective Juvenile (IJ)	whole organism	SN		
SRR7768345	Infective Juvenile	Infective Juvenile (IJ)	whole organism	SN		
SRR7768364	activated in a live waxworm, 12 hours	Infective Juvenile (IJ)	whole organism	SN	12hr	activated in a live waxworm
SRR7768365	activated in a live waxworm, 12 hours	Infective Juvenile (IJ)	whole organism	SN	12hr	activated in a live waxworm
SRR7768366	activated in a live waxworm, 12 hours	Infective Juvenile (IJ)	whole organism	SN	12hr	activated in a live waxworm
SRR7768367	activated in a live waxworm, 15 hours	Infective Juvenile (IJ)	whole organism	SN	15hr	activated in a live waxworm
SRR7768368	activated in a live waxworm, 15 hours	Infective Juvenile (IJ)	whole organism	SN	15hr	activated in a live waxworm
SRR7768369	activated in a live waxworm, 15 hours	Infective Juvenile (IJ)	whole organism	SN	15hr	activated in a live waxworm
SRR7768355	activated in a live waxworm, 3 hours	Infective Juvenile (IJ)	whole organism	SN	3hr	activated in a live waxworm
SRR7768356	activated in a live waxworm, 3 hours	Infective Juvenile (IJ)	whole organism	SN	3hr	activated in a live waxworm
SRR7768357	activated in a live waxworm, 3 hours	Infective Juvenile (IJ)	whole organism	SN	3hr	activated in a live waxworm
SRR7768358	activated in a live waxworm, 6 hours	Infective Juvenile (IJ)	whole organism	SN	6hr	activated in a live waxworm
SRR7768359	activated in a live waxworm, 6 hours	Infective Juvenile (IJ)	whole organism	SN	6hr	activated in a live waxworm
SRR7768360	activated in a live waxworm, 6 hours	Infective Juvenile (IJ)	whole organism	SN	6hr	activated in a live waxworm
SRR7768361	activated in a live waxworm, 9 hours	Infective Juvenile (IJ)	whole organism	SN	9hr	activated in a live waxworm
SRR7768362	activated in a live waxworm, 9 hours	Infective Juvenile (IJ)	whole organism	SN	9hr	activated in a live waxworm
SRR7768363	activated in a live waxworm, 9 hours	Infective Juvenile (IJ)	whole organism	SN	9hr	activated in a live waxworm
SRR7768346	activated in waxworm homogenate, 3 hours	Infective Juvenile (IJ)	whole organism	SN	3hr	activated in waxworm homogenate
SRR7768347	activated in waxworm homogenate, 3 hours	Infective Juvenile (IJ)	whole organism	SN	3hr	activated in waxworm homogenate
SRR7768348	activated in waxworm homogenate, 3 hours	Infective Juvenile (IJ)	whole organism	SN	3hr	activated in waxworm homogenate
SRR7768349	activated in waxworm homogenate, 6 hours	Infective Juvenile (IJ)	whole organism	SN	6hr	activated in waxworm homogenate
SRR7768350	activated in waxworm homogenate, 6 hours	Infective Juvenile (IJ)	whole organism	SN	6hr	activated in waxworm homogenate
SRR7768351	activated in waxworm homogenate, 6 hours	Infective Juvenile (IJ)	whole organism	SN	6hr	activated in waxworm homogenate
SRR7768352	activated in waxworm homogenate, 9 hours	Infective Juvenile (IJ)	whole organism	SN	9hr	activated in waxworm homogenate
SRR7768353	activated in waxworm homogenate, 9 hours	Infective Juvenile (IJ)	whole organism	SN	9hr	activated in waxworm homogenate
SRR7768354	activated in waxworm homogenate, 9 hours	Infective Juvenile (IJ)	whole organism	SN	9hr	activated in waxworm homogenate
