Run	Condition	developmental_stage	strain	treatment
ERR406850	8-bromo-3',5'-cyclic GMP	L3i	PV001	8-bromo-3',5'-cyclic GMP
ERR406851	8-bromo-3',5'-cyclic GMP	L3i	PV001	8-bromo-3',5'-cyclic GMP
ERR406863	8-bromo-3',5'-cyclic GMP	L3i	PV001	8-bromo-3',5'-cyclic GMP
ERR406867	8-bromo-3',5'-cyclic GMP	L3i	PV001	8-bromo-3',5'-cyclic GMP
ERR406849	DMEM	L3i	PV001	DMEM
ERR406855	DMEM	L3i	PV001	DMEM
ERR406857	DMEM	L3i	PV001	DMEM
ERR406860	DMEM	L3i	PV001	DMEM
ERR406847	M9 buffer	L3i	PV001	M9 buffer
ERR406853	M9 buffer	L3i	PV001	M9 buffer
ERR406858	M9 buffer	L3i	PV001	M9 buffer
ERR406862	M9 buffer	L3i	PV001	M9 buffer
ERR406852	No treatment	L3i	PV001	No treatment
ERR406859	No treatment	L3i	PV001	No treatment
ERR406861	No treatment	L3i	PV001	No treatment
ERR406865	No treatment	L3i	PV001	No treatment
ERR406848	delta(7)-DA	L3i	PV001	delta(7)-DA
ERR406854	delta(7)-DA	L3i	PV001	delta(7)-DA
ERR406856	delta(7)-DA	L3i	PV001	delta(7)-DA
ERR406866	delta(7)-DA	L3i	PV001	delta(7)-DA
