# 
# Study DRP002610: Bursaphelenchus xylophilus transcriptome
# Submitted to archives by MIYAZAKI
# Reads aligned with TopHat2 and quantified with HTSeq2, by RNASeq-er: https://www.ebi.ac.uk/fg/rnaseq/api
# 
# Values are transcripts per million units (TPMs) per gene for each run
gene_id	DRR141217	DRR141218	DRR141219	DRR141220	DRR141205	DRR141206	DRR141215	DRR141216	DRR141207	DRR141208	DRR141221	DRR141209	DRR141210	DRR141222	DRR141213	DRR141214	DRR141211	DRR141212	DRR029450	DRR029451	DRR029452	DRR141203	DRR141204	DRR029455	DRR029453	DRR029454
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
BXY_0000100	37.36	61.88	35.09	38.4	139.03	66.79	13.3	10.18	37.51	34.57	19.63	30.97	33.07	10.57	8.56	9.01	9.18	9.36	7.05	6.67	6.31	52.16	51.59	13.67	4.06	4.03
BXY_0000200	64.35	84.63	84.42	77.89	46.18	47.03	41.74	41.08	65.38	68.79	65.66	57.81	59.51	58.68	40.15	39.31	37.81	35.77	41.07	50.1	32.16	34.5	34.36	33	53.56	49.75
BXY_0000300	274.1	264.47	346.35	349.24	624.43	468.67	339.19	280.06	242.81	229.9	228.58	284.9	296	282.77	172	178.43	153.26	155.45	57.22	67.02	44.72	268.61	265.24	100.03	68.05	82.97
BXY_0000400	124.86	125.57	94.8	91.26	106.85	103.72	105.63	114.58	111.35	124.64	96.07	78.91	73.51	72.36	81.69	79.13	62.03	74.89	71.43	68.29	80.85	127.28	134.65	58.62	64.37	59.34
BXY_0000500	31	37.34	32.04	31.68	36.98	33.04	19.37	14.73	28.67	29	16.6	20.63	22.88	12.95	13.2	13.15	12.83	13.69	19.32	15.38	12.21	18.45	20.68	13.69	11.19	9.11
BXY_0000600	56.29	72.99	39.94	42.09	70.61	67.62	52.71	34.39	50	49.8	39.71	40.93	43.29	30.69	33.87	36.08	30.69	22.69	35.76	36.38	25.46	63.52	60.9	23.14	16.79	13.38
BXY_0000700	74.17	82.11	55.75	57.48	65.94	60.38	39.01	29	44.2	48.15	25.24	44.88	41.71	24.14	33.73	32.98	28.13	31.43	42.16	41.4	25.99	39.31	40.68	23.33	17.86	17.46
BXY_0000800	186.49	190.39	134.82	157.75	150.53	146.67	125.1	106.03	144.95	170.06	92.86	127.12	127.86	72.02	103.94	104.53	88.42	85.89	71.64	91.73	79.92	93.95	89.82	104.33	56.35	66.26
BXY_0000900	180.07	162.56	99.88	143.22	187.27	193.66	448.5	351.66	126.18	125.74	76.27	173.43	160.29	79.69	136.01	138.39	100.54	89.01	310.22	250.6	201.01	102.03	109.81	158.22	193.24	148.84
BXY_0001000	150.12	157.23	101.64	110.53	99.64	104.04	103.96	81.33	79	79.63	58.51	78.2	76.05	52.87	65.06	61.79	44.06	40.68	142.06	130.79	180.95	62.41	62.42	57.51	97.42	80.21
BXY_0001100	6.16	3.87	2.97	2.13	1.8	1.32	4.26	4.16	3.17	4.11	2.57	3.27	2.52	2.48	9.13	10.16	68.75	71.46	9.85	13.95	11.39	5.71	4.83	22.08	21.48	24.85
