# Differential expression analysis for study ERP0009486 contrasts  across:developmental stage. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Eggs/embryos vs L3: Eggs/embryos - low replicates (2). L3 - low replicates (1)
# !Eggs/embryos vs L4: Eggs/embryos - low replicates (2)
# !Eggs/embryos vs Microfilariae: Eggs/embryos - low replicates (2). Microfilariae - low replicates (1)
# !L3 vs L4: L3 - low replicates (1)
# !L3 vs Microfilariae: L3 - low replicates (1). Microfilariae - low replicates (1)
# !L4 vs Microfilariae: Microfilariae - low replicates (1)
	!Eggs/embryos vs L3	!Eggs/embryos vs L4	!Eggs/embryos vs Microfilariae	!L3 vs L4	!L3 vs Microfilariae	!L4 vs Microfilariae
WBGene00220263	1.21	1.16	0.45		-0.76	-0.71
WBGene00220265	4.64	5.71			-2.90	-3.97
WBGene00220269	1.56					
WBGene00220274	-2.33	-1.42		0.91	1.99	1.07
WBGene00220275		-5.51				
WBGene00220276		-0.64				
WBGene00220277	3.69	2.74			-2.74	
WBGene00220280	-1.44	-1.18			1.63	1.37
WBGene00220284	3.90	-1.97	-4.30	-5.87	-8.19	-2.32
WBGene00220288	0.52	-1.64	-1.00	-2.16	-1.52	0.64
WBGene00220289	-1.27	-1.86			1.41	2.01
WBGene00220294	7.70	-1.32	-0.61	-9.02	-8.31	0.72
WBGene00220302			-11.04		-11.31	-11.54
WBGene00220306	-2.52	-0.90	1.54	1.61	4.06	2.44
WBGene00220308	2.34	-1.86		-4.21	-2.99	
WBGene00220310			-2.31			-2.94
WBGene00220317	-4.10	-5.37			6.33	7.60
WBGene00220320	0.66	0.87	2.75		2.09	1.88
WBGene00220321		-1.59			5.22	5.49
WBGene00220328				-5.19		
WBGene00220337	-6.68	-4.55		2.13	7.92	5.79
WBGene00220341		1.71				-1.80
WBGene00220346	6.72	3.79	-1.23	-2.93	-7.94	-5.01
WBGene00220352	-0.70	-1.58	-1.35	-0.88		
WBGene00220355	3.48	1.91	7.18			5.26
WBGene00220358	-5.51	-5.05	-2.96	0.46	2.56	2.09
WBGene00220359	-1.74			2.04		
WBGene00220360			-4.82		-8.64	-7.86
WBGene00220368	5.24					
WBGene00220376		-1.75	-2.57	-1.31	-2.13	-0.82
WBGene00220380	2.26	3.80				
WBGene00220387	-4.94	-2.52	-0.97	2.43	3.98	1.55
WBGene00220389	2.14				-2.86	
WBGene00220390	-4.39	-2.20		2.20	3.97	
WBGene00220391	3.97	2.34	5.53	-1.63		3.19
WBGene00220396	2.84	6.52	6.35	3.68		
WBGene00220407		4.54				
WBGene00220409	2.37	-2.30		-4.67	-3.22	
WBGene00220411	1.85	2.54	5.76			
WBGene00220416	-5.86	-2.34		3.53	4.61	
WBGene00220422	8.26	7.24	3.00		-5.26	-4.24
WBGene00220424			-1.03			
WBGene00220425	6.20		-2.84	-6.67	-9.04	-2.37
WBGene00220433		2.34		1.90		-1.51
WBGene00220434	5.57	-1.47		-7.05	-5.89	1.16
WBGene00220438	5.18			-4.87	-6.33	
WBGene00220439	5.25			-5.47	-7.38	
WBGene00220443	2.11	1.58		-0.53	-2.13	-1.60
WBGene00220444		-1.87	6.03		7.13	7.90
WBGene00220450	-3.56					
WBGene00220454		-2.87			5.68	6.63
WBGene00220458					-10.15	-5.97
WBGene00220465	3.36	2.61				
WBGene00220466	5.77	2.59			-4.39	
WBGene00220469	-2.18			1.67	4.10	2.43
WBGene00220477	-4.24					
WBGene00220480		3.18			-2.97	-4.20
WBGene00220481	-6.42	-5.06		1.36	5.59	4.23
WBGene00220483	-3.47	-2.65				
WBGene00220489		1.22	-8.71		-8.99	-9.93
WBGene00220491	-2.40	-1.78			3.09	2.47
WBGene00220492	8.74	7.96	-5.30		-14.03	-13.26
WBGene00220499	1.95	1.13		-0.82	-2.46	-1.63
WBGene00220502	4.28	5.83	7.50			
WBGene00220503	-5.69			4.90	9.63	
WBGene00220504	-4.15		5.09	4.27	9.24	4.97
WBGene00220507	3.96	1.22		-2.74	-4.07	
WBGene00220511	-3.37	-1.79		1.58	3.00	1.41
WBGene00220514	5.94	6.74	4.13			
WBGene00220515	-3.81	-1.88		1.93	5.07	3.14
WBGene00220516	3.13	1.79	-4.23		-7.36	-6.03
WBGene00220519		2.29				
WBGene00220522	2.87	3.18			-2.74	-3.05
WBGene00220525		0.70				
WBGene00220526	-2.41	-1.68	-2.96			
WBGene00220527	-3.75	-2.11		1.64	3.41	1.77
WBGene00220530		-4.65		-3.98		4.23
WBGene00220532	1.19	3.30	3.23	2.11	2.04	
WBGene00220542	1.98		-1.80		-3.78	-2.79
WBGene00220544	3.29	1.91				
WBGene00220549	-2.34			1.88	2.51	
WBGene00220552		0.92		0.74		
WBGene00220554	6.91	3.69			-8.15	-4.93
WBGene00220555	-6.28	-5.09		1.19	6.45	5.26
WBGene00220556	1.35		6.38		5.03	5.71
WBGene00220563				3.90		
WBGene00220566		3.59				-3.97
WBGene00220568	3.67	2.50				
WBGene00220573				1.57		
WBGene00220576	-3.83	-2.30		1.53	4.29	2.76
