# Gene expression in TPM - median across runs per condition for study ERP000948
# !Adult male: Low replicates (1)
# !Eggs/embryos: Low replicates (2)
# !L3: Low replicates (1)
# !L3 (GA sample): Low replicates (1)
# !Microfilariae: Low replicates (1)
	Adult female	!Adult male	!Eggs/embryos	!L3	!L3 (GA sample)	L4	!Microfilariae
WBGene00220262	0.0	6.9	1.6	0.1	142.4	0.0	0.0
WBGene00220263	97.0	43.4	84.2	33.6	51.2	22.1	37.6
WBGene00220265	10.0	1.5	27.4	1.0	211.8	0.0	5.0
WBGene00220269	16.4	36.4	238.1	74.3	0.0	82.7	47.1
WBGene00220274	9.0	268.4	22.2	100.9	0.0	33.6	16.8
WBGene00220275	0.0	0.0	0.0	0.1	0.0	0.3	0.7
WBGene00220276	68.9	83.0	56.1	83.0	141.6	57.5	39.6
WBGene00220277	97.9	1.0	30.3	2.1	139.8	2.8	9.4
WBGene00220278	0.0	9.8	0.0	0.0	0.0	0.0	0.0
WBGene00220280	81.2	207.5	127.8	322.7	35.6	180.0	68.6
WBGene00220281	0.0	36.3	0.6	0.3	11.1	0.0	0.0
WBGene00220284	2436.0	1695.1	3192.1	198.5	12.3	5614.2	38204.8
WBGene00220288	5735.5	19968.3	4466.9	2881.1	39.4	8471.6	5428.9
WBGene00220289	11.3	2678.2	149.7	330.7	67.2	343.3	82.0
WBGene00220294	434.3	1786.3	4801.8	21.4	0.0	7954.5	4455.1
WBGene00220302	0.0	0.7	0.3	0.3	0.0	0.0	479.6
WBGene00220303	4.6	12.6	13.2	10.5	0.0	8.0	9.6
WBGene00220306	3.5	16.9	49.5	262.8	295.7	55.0	10.4
WBGene00220308	27.6	20.6	45.2	8.5	231.6	102.3	44.5
WBGene00220309	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220310	20.7	6.0	23.0	46.9	19.3	8.6	67.5
WBGene00220316	0.0	0.0	1.0	0.0	33.2	0.0	0.0
WBGene00220317	0.8	14.0	0.5	9.7	10.1	14.8	0.0
WBGene00220320	10.8	20.7	32.8	19.2	287.0	10.8	3.0
WBGene00220321	12.4	4.6	5.3	11.9	160.6	8.6	0.0
WBGene00220328	0.0	35.9	1.2	0.1	5.3	2.4	0.6
WBGene00220335	14.4	21.6	8.1	4.5	87.2	4.9	2.4
WBGene00220337	9.0	0.7	1.1	134.7	37.4	18.4	0.0
WBGene00220341	14.1	19.5	27.0	13.5	0.0	4.8	17.5
