# Differential expression analysis for study SRP0630616 contrasts  across:timepoint. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
	48h vs 5 days	48h vs Upon arrival	48h vs Upon dissection	5 days vs Upon arrival	5 days vs Upon dissection	Upon arrival vs Upon dissection
WBGene00220263			-1.03		-1.03	-0.59
WBGene00220265		1.52		1.95	0.90	-1.05
WBGene00220276		0.58				-0.62
WBGene00220277					1.10	
WBGene00220280						0.35
WBGene00220320		0.41		0.49		-0.37
WBGene00220335					1.30	
WBGene00220337		-1.49				
WBGene00220358	-0.71					
WBGene00220376					0.97	
WBGene00220380			2.16	2.05	2.97	
WBGene00220387	-0.49				0.61	
WBGene00220390				1.31		
WBGene00220398	-0.80				1.02	
WBGene00220411		0.74		1.34	0.95	
WBGene00220424					0.77	
WBGene00220434	-0.92	-1.08	-0.85			
WBGene00220438						1.40
WBGene00220439						1.07
WBGene00220443	-0.58	-0.66	-0.58			
WBGene00220469					0.60	
WBGene00220483		0.87	1.35	0.98	1.45	
WBGene00220489			1.30	0.83	1.92	1.09
WBGene00220491		1.28	1.13	1.67	1.51	
WBGene00220492		1.70	1.09	1.65	1.04	
WBGene00220494		0.59			-0.67	-0.74
WBGene00220503		0.44	0.55	0.62	0.73	
WBGene00220511				1.28	1.35	
WBGene00220515		1.35		1.92	1.03	-0.90
WBGene00220516		1.69				
WBGene00220528				0.55		
WBGene00220530	-0.59			0.84	0.52	
WBGene00220539					0.67	
WBGene00220544					0.82	
WBGene00220555			1.34		1.62	1.58
WBGene00220576	-0.57			0.49	0.91	
WBGene00220582					0.73	
WBGene00220585			1.92	0.79	2.45	1.66
WBGene00220588	-0.82			1.54	0.88	
WBGene00220590		1.14				
WBGene00220594		0.94	1.20	0.93	1.18	
WBGene00220598		2.39	3.77	3.10	4.49	
WBGene00220609		0.60				
WBGene00220610				0.49	0.52	
WBGene00220615			0.48		0.84	0.66
WBGene00220619		1.47	1.30	1.13	0.95	
WBGene00220624			1.23	1.13	1.76	
WBGene00220637				-0.59		
WBGene00220643				0.65	0.92	
WBGene00220645					-0.94	
WBGene00220652					0.66	
WBGene00220655		0.91				-0.87
WBGene00220659		-0.41	-0.78		-0.69	
WBGene00220666	-0.71	-1.03	-0.54			0.49
WBGene00220668					0.80	
WBGene00220669	-0.47	-0.39				
WBGene00220676			-1.78		-1.06	-1.13
WBGene00220678		0.45				-0.46
WBGene00220679		-0.43				
WBGene00220681				-2.74		
WBGene00220683						2.87
WBGene00220688				0.45	0.56	
WBGene00220696	-0.58				0.55	
WBGene00220706			0.33		0.41	
WBGene00220707					0.99	0.93
WBGene00220711		-1.30				
WBGene00220712		0.92		1.02		
WBGene00220735	-0.57	-0.98	-0.56			
WBGene00220737	0.63				-0.60	
WBGene00220740				0.65	0.90	
WBGene00220743	0.69					
WBGene00220744		1.13	0.85	0.85		
WBGene00220748		1.75				
WBGene00220749		1.38		1.23		
WBGene00220750					0.92	
WBGene00220753		-0.37		-0.37		0.31
WBGene00220757					0.35	
WBGene00220762		-0.74		-0.66		
WBGene00220787		0.74		1.13	0.73	
WBGene00220791				0.57	0.49	
WBGene00220801		-1.40				
WBGene00220802			0.75	0.79	1.04	
WBGene00220805		1.53				
WBGene00220806			0.46	0.59	0.76	
WBGene00220812					1.88	
WBGene00220817					-0.47	-0.91
WBGene00220829		0.58				
WBGene00220834		-0.37		-0.49	-0.48	
WBGene00220839		-0.56		-0.67		1.00
WBGene00220844					0.97	
WBGene00220849					0.46	
WBGene00220870		1.30				
WBGene00220873		1.67		1.55		
WBGene00220885		-0.77			0.85	0.97
WBGene00220890				1.56	1.25	
WBGene00220891		1.10	0.87	0.90	0.66	
WBGene00220897		-0.31				
WBGene00220898				0.49	0.50	
WBGene00220929					1.63	1.65
WBGene00220939	0.67	1.21	4.99		4.32	3.79
WBGene00220954					0.51	0.55
WBGene00220955					-1.72	
WBGene00220960	1.01	1.46				-0.98
WBGene00220975					0.55	
WBGene00220986			-0.88			
WBGene00220990			-0.52		-0.44	-0.39
WBGene00220996	-0.83		-0.69	0.75		-0.61
WBGene00221016					-0.66	-0.60
WBGene00221056		-1.51				2.13
WBGene00221076	0.91		0.96			
WBGene00221077			1.99	1.39	2.71	1.32
WBGene00221078	1.01				-1.10	
WBGene00221079	0.89				-1.31	
WBGene00221083				0.72		-0.86
WBGene00221089		0.58		0.80	0.83	
WBGene00221090	-0.66				0.72	
WBGene00221094		2.37		2.34		-1.71
WBGene00221112					0.93	
WBGene00221117	-1.09	-1.91	-2.05	-0.82	-0.96	
WBGene00221120		1.15		0.90		-0.73
WBGene00221137					1.82	
WBGene00221140				0.40	0.39	
WBGene00221169	0.97	0.82	0.67			
WBGene00221199					-1.90	
WBGene00221211			1.30		1.46	
WBGene00221212						-0.95
WBGene00221231		1.24		1.55		
WBGene00221236	0.47	0.38				
WBGene00221268					-0.78	-0.92
WBGene00221274			0.36	0.36	0.55	
WBGene00221277					1.07	
WBGene00221284	1.05	-2.68	-2.32	-3.73	-3.37	
WBGene00221287		1.55				
WBGene00221291	-0.50			0.81	0.43	
WBGene00221293		0.79	0.95		0.84	
WBGene00221297					1.10	0.75
WBGene00221303						-0.49
WBGene00221304		0.79		0.83		
WBGene00221305				1.73		
WBGene00221310		-0.50				
WBGene00221312			-1.01		-0.98	-0.91
WBGene00221322	-0.52				0.63	
WBGene00221323		1.24	0.98	1.89	1.63	
WBGene00221325			1.27			1.39
WBGene00221333				0.68	0.67	
WBGene00221335						0.92
WBGene00221349				1.04	1.34	
WBGene00221378		1.58		1.85		-1.42
WBGene00221385		-1.68		-1.56		1.82
WBGene00221395				-2.26		
WBGene00221443						0.49
WBGene00221454					1.02	0.89
WBGene00221462						-0.79
WBGene00221476		-2.80				
WBGene00221503					0.48	0.54
WBGene00221512				1.25		
WBGene00221543				0.78		-0.72
WBGene00221559					1.54	
WBGene00221566		-0.63				0.67
WBGene00221572		-2.60		-2.24		4.59
WBGene00221582				-3.06		
WBGene00221585		-0.50			0.82	0.78
WBGene00221600					0.56	0.53
WBGene00221603	0.52				-0.60	
WBGene00221628		1.84				
WBGene00221631					1.46	0.92
WBGene00221643				1.79	2.32	
WBGene00221647			1.12		1.07	
WBGene00221648				1.82		
WBGene00221649	-0.86		-1.35	1.07		-1.56
WBGene00221652				-0.84		
WBGene00221676		0.59		1.04	0.80	
WBGene00221688					0.41	
WBGene00221698			0.63		0.66	0.50
WBGene00221702		0.97	0.93			
WBGene00221707		2.14		2.13		
WBGene00221718			0.78	-0.68		0.76
WBGene00221723	-0.40				0.57	0.36
WBGene00221728					0.75	
WBGene00221734		1.34		1.57		
WBGene00221749		0.68		0.98	0.58	
WBGene00221753	0.83				-0.77	
WBGene00221757			1.02		1.14	1.03
WBGene00221768					0.78	
WBGene00221769			0.47		0.43	0.33
WBGene00221770					0.35	
WBGene00221779				1.27	1.43	
WBGene00221783			1.38	0.83	1.51	
WBGene00221802	0.58	0.74			-0.60	-0.75
WBGene00221810		0.88		0.86		
WBGene00221824				0.57		-0.53
WBGene00221839			2.21	0.82	2.30	1.48
WBGene00221840		1.04		0.99		-0.79
WBGene00221841		1.16				-1.09
WBGene00221848		0.70		0.81	0.57	
WBGene00221853					-1.00	-0.97
WBGene00221857	0.77			-0.66	-0.59	
WBGene00221885				1.97		-2.05
WBGene00221890		-0.49				
WBGene00221917				0.88		
WBGene00221928			-0.37		-0.48	-0.33
WBGene00221929		-0.50				
WBGene00221943					0.56	
WBGene00221944					1.52	1.02
WBGene00221945		0.95		1.00	0.63	
WBGene00221946				-0.41		
WBGene00221947	0.51	0.65				-0.36
WBGene00221949		0.43		0.69	0.56	
WBGene00221950	0.44				-0.45	
WBGene00221951	-0.53	-0.47			0.67	0.61
WBGene00221953					0.54	0.56
WBGene00221954					-0.49	
WBGene00221957					-0.70	
WBGene00221958				-0.47		
WBGene00221959	-0.41			0.42	0.62	
WBGene00221960		0.62				
WBGene00221961		-0.31				
WBGene00221963					-0.85	-0.68
WBGene00221964		-0.26		-0.26		0.45
WBGene00221965		0.92				
WBGene00221966		-0.32				
WBGene00221969					0.32	
WBGene00221972					-0.51	
WBGene00221974			1.48	1.05	2.14	1.08
WBGene00221975	-0.76				0.65	
WBGene00221982	0.88	0.64				
WBGene00221983		1.30				
WBGene00221988		-0.69	-0.82	-0.62	-0.74	
WBGene00221989	0.40			-0.43	-0.29	
WBGene00221991		0.67				
WBGene00221994			-0.38		-0.32	
WBGene00221995				0.81		-1.15
WBGene00221996	-0.67		-0.77			
WBGene00221998				-0.52		
WBGene00221999	0.83			-0.54	-0.72	
WBGene00222000			0.59		0.57	
WBGene00222002	-0.57					
WBGene00222004					-0.45	
WBGene00222005		0.85		0.60		
WBGene00222007		0.34		0.32		-0.34
WBGene00222009		-0.35	-0.56		-0.37	
WBGene00222010				0.37		
WBGene00222012			-0.71		-0.67	
WBGene00222013		-0.65		-0.39		0.48
WBGene00222015			1.03		1.13	
WBGene00222020	-0.45	-0.45	-0.55			
WBGene00222023		-0.58	-0.49			
WBGene00222026					0.47	
WBGene00222029			-0.60	-0.65	-0.92	
WBGene00222031	-0.46	-0.86	-0.77	-0.40		
WBGene00222032		0.66				
WBGene00222034		-0.43				
WBGene00222036	0.71	1.11	0.58			
WBGene00222038		0.78		0.95	0.60	
WBGene00222039					-0.62	
WBGene00222040	-0.59	-0.56				
WBGene00222041				3.52		
WBGene00222045						-0.49
WBGene00222047		-0.55		-0.48		
WBGene00222052		1.91	2.28	1.58	1.95	
WBGene00222055			-0.66			
WBGene00222056	-0.68	-0.91	-0.56			
WBGene00222058		-0.67				
WBGene00222059		-0.56	-0.65		-0.39	
WBGene00222063					-0.78	
WBGene00222065					0.39	
WBGene00222066		-0.32				0.34
WBGene00222069			-0.52		-0.62	
WBGene00222070				0.68		
WBGene00222072	-0.53					
WBGene00222073				0.65		
WBGene00222074					-0.78	
WBGene00222076		-0.72				
