# Gene expression in TPM for each run in  study SRP063061
	SRR2225869	SRR2225870	SRR2225871	SRR2225872	SRR2225873	SRR2225874	SRR2225875	SRR2225876	SRR2225877	SRR2225878	SRR2225879	SRR2225880	SRR2225863	SRR2225864	SRR2225865	SRR2225866	SRR2225867	SRR2225868	SRR2225857	SRR2225858	SRR2225859	SRR2225860	SRR2225861	SRR2225862
WBGene00220262	7.46	0	0	0	6.05	0	0	0	1.65	2.47	2.63	2.22	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220263	35.1	19.27	31.8	20.91	20.54	26.63	38.06	23.58	19.48	18.37	19.57	13.61	35.62	36.32	38.25	37	25.66	27.23	30.87	61.11	76.67	67.06	35.67	62.06
WBGene00220265	70.95	71.07	86.09	73.42	57.58	52.58	27.49	58.4	102.78	101.77	86.15	110.33	16.92	12.5	21.98	26.77	30.18	27.42	78.26	76.25	33.25	57.14	28.77	45.44
WBGene00220269	41.25	48.94	97.41	48.03	55.81	35.89	31.28	0	82.05	54.62	29.09	98.28	59.03	74.74	70.03	86.23	41.57	60.87	0	47.88	13.38	0	75.28	49.2
WBGene00220274	42.12	61.39	69.27	49.04	65.12	43.63	24.64	22.29	62.5	51.79	55.16	82.43	45.2	64.05	42.32	37.73	42.44	53.28	48.36	37.25	62.47	55.25	54.91	52.63
WBGene00220275	0	0.21	0	0	0	0.13	0	0	0	0	0.31	0	0.16	0	0	0	0	0	0	0	0	0	0	0
WBGene00220276	69.4	111.14	78.52	69.58	62.59	60.38	50.86	38.56	48.57	61.26	103.99	62	49.65	55	53.29	45.33	48.95	43.28	49.21	85.02	101.32	103.41	80.91	75.87
WBGene00220277	10.64	30.29	65.94	49.54	46.05	52.45	54.85	55.17	84.64	98.6	37.51	38.02	83.72	33.73	27.09	44.47	55.74	32.52	35.21	41.16	34.51	30.85	40.98	27.49
WBGene00220278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71	2.46	0	9.03	0	11.28	0	0
WBGene00220280	122.94	151.67	117.15	121.32	130.2	114.1	110.79	134.02	132.74	109.3	138.7	137.03	141.98	144.77	146.51	130.32	185.45	150.68	151.12	111.44	127.63	93.36	153.13	121.48
WBGene00220281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220284	3212.74	1818.58	3564.58	3216.76	2303.71	3655.71	2770.39	2928.28	2134.6	4866.22	1603.64	2947.63	3033.51	1870.81	2763.3	2249.71	1590.22	2361.69	1596.6	3071.72	3231.38	2231.24	2472.37	2337.8
WBGene00220288	0	3.91	0	6.4	0	0	2.5	0	3.65	0	0	0	0	3.74	0	0	3.33	1.74	7.8	0	0	0	3.35	0
WBGene00220289	590.67	100.1	249.06	305.64	350.06	856.58	1471.51	41.68	62.16	139.66	69.42	536.06	271.65	210.2	173.93	529.11	158.7	1523.81	39.89	163.24	264.63	40.78	193.91	173.31
WBGene00220294	0	0	0	0	0	21.75	5.69	69.46	157.48	0	39.67	11.17	0	0	0	0	7.56	102.77	53.19	130.59	24.33	72.5	0	0
WBGene00220302	0	1.85	0	0	0	2.26	5.9	0	0	0	2.74	2.32	0	1.76	0	0	0	0.82	0	0	0	0	0	0
WBGene00220303	30.19	17.9	22.27	11.71	32.67	4.38	13.73	11.18	10.01	39.97	5.32	26.97	5.4	34.18	16.47	3.94	12.17	15.91	21.41	23.36	19.59	36.47	30.6	18
WBGene00220306	15.77	17.96	19.55	17.14	15.36	22.87	11.48	4.67	16.73	14.62	20.02	14.09	15.8	15	10.71	3.3	17.16	6.98	2.98	14.65	10.23	18.29	19.19	16.3
WBGene00220308	36.94	21.91	27.26	14.34	34.98	10.71	22.41	6.84	32.66	24.46	19.54	16.5	6.61	8.37	15.68	38.61	18.61	17.52	8.73	14.29	17.98	53.56	26.22	36.71
WBGene00220309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
