# Differential expression analysis for study SRP0666109 contrasts  across:timepoint. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !0h vs 24 h: 0h - low replicates (2). 24 h - low replicates (2)
# !0h vs 48 h: 0h - low replicates (2). 48 h - low replicates (2)
# !0h vs 72 h: 0h - low replicates (2). 72 h - low replicates (2)
# !24 h vs 48 h: 24 h - low replicates (2). 48 h - low replicates (2)
# !24 h vs 72 h: 24 h - low replicates (2). 72 h - low replicates (2)
# !48 h vs 72 h: 48 h - low replicates (2). 72 h - low replicates (2)
# !Ivermectin 100nM, 24 h vs Ivermectin 100nM, 48 h: Ivermectin 100nM, 24 h - low replicates (2). Ivermectin 100nM, 48 h - low replicates (2)
# !Ivermectin 100nM, 24 h vs Ivermectin 100nM, 72 h: Ivermectin 100nM, 24 h - low replicates (2). Ivermectin 100nM, 72 h - low replicates (2)
# !Ivermectin 100nM, 48 h vs Ivermectin 100nM, 72 h: Ivermectin 100nM, 48 h - low replicates (2). Ivermectin 100nM, 72 h - low replicates (2)
# No differentially expressed genes found in contrast: !24 h vs 72 h
	!0h vs 24 h	!0h vs 48 h	!0h vs 72 h	!24 h vs 48 h	!48 h vs 72 h	!Ivermectin 100nM, 24 h vs Ivermectin 100nM, 48 h	!Ivermectin 100nM, 24 h vs Ivermectin 100nM, 72 h	!Ivermectin 100nM, 48 h vs Ivermectin 100nM, 72 h
WBGene00220263				1.68	-1.19	1.81		-1.75
WBGene00220265		-3.16		-3.42	2.36	-1.82		
WBGene00220275		-6.26		-6.87	5.99			
WBGene00220276	-1.05	-1.47						
WBGene00220277		-2.78		-3.55	2.58	-1.65		1.16
WBGene00220280				-1.08	0.85	-0.74		
WBGene00220284		-1.31		-0.96	1.06			
WBGene00220289					1.12	-0.96		1.77
WBGene00220294		-2.97						
WBGene00220303				-3.49				
WBGene00220320						0.99		-1.11
WBGene00220352				-1.17				
WBGene00220355						-1.43		
WBGene00220358		-1.38		-1.67	1.41	-1.18		
WBGene00220376		-1.72		-1.04	1.89			0.85
WBGene00220380		-1.61		-1.24	1.37	-1.64		
WBGene00220387		-0.92		-1.58	1.05	-1.43		1.09
WBGene00220391				-1.75	1.22	-1.12		
WBGene00220398				-2.28	1.45	-2.23		
WBGene00220407		-2.61		-4.50		-2.53		
WBGene00220411		-1.90		-2.07	1.66	-1.39		1.49
WBGene00220422		-1.48		-2.13	1.76	-0.93		
WBGene00220424		-1.14		-1.89	1.39	-1.11		1.28
WBGene00220425							1.01	0.67
WBGene00220434		2.00	1.74					
WBGene00220438				-1.82				
WBGene00220469		-1.78		-2.31	1.78	-1.48		
WBGene00220477				-2.63	2.13			
WBGene00220481				-2.19		-1.86		
WBGene00220483		-2.65		-2.44	2.50			
WBGene00220489	1.30	-0.99	1.24	-2.29	2.23	-1.38		
WBGene00220491		-2.81		-2.57	1.88	-1.34		
WBGene00220492		-3.47		-2.57	2.26	-1.37		
WBGene00220494	-1.87		-1.44	1.32				
WBGene00220499				-1.12	0.98			
WBGene00220503		-2.75		-2.98	1.91	-1.63		
WBGene00220511		-2.14		-3.69	2.28	-2.43		
WBGene00220514		-1.87		-2.14	1.95			
WBGene00220516		-5.44		-2.84	3.31			
WBGene00220519		-1.62		-1.60	1.99			
WBGene00220527		-1.09		-1.89	1.83			1.54
WBGene00220528		-2.10		-2.36	1.77	-1.58		1.23
WBGene00220531	-1.52							
WBGene00220532				-0.79	0.81			
WBGene00220537		-3.31		-3.90	3.23			
WBGene00220539		-2.33		-2.55	2.14	-1.80		1.12
WBGene00220541				-1.84				
WBGene00220544				-2.15	1.38			
WBGene00220549	1.53			-1.68	1.34			1.39
WBGene00220552		-0.76		-1.04	0.96			
WBGene00220555	1.49	-1.70		-3.19	1.96	-1.90		1.03
WBGene00220556		-1.18		-1.84	1.64			1.06
WBGene00220557	1.61			-1.86	1.35			
WBGene00220576				-1.35	0.93			
WBGene00220580	1.63	-1.24		-2.87	1.76	-1.37		1.15
WBGene00220582		-1.85		-2.07	1.53	-1.21		
WBGene00220585		-1.07		-1.54	1.31			
WBGene00220588		-1.87		-1.78	1.35	-1.11		1.22
WBGene00220589		-1.78		-1.91	2.11			
WBGene00220594		-1.57		-1.37	1.37			
WBGene00220596		-1.92		-2.44	2.45			
WBGene00220598		-1.52		-1.67	1.49			
WBGene00220602				-1.90				
WBGene00220609		-0.88				-0.74		0.67
WBGene00220610		-1.18		-1.64		-1.15		
WBGene00220615				-1.57		-1.05		
WBGene00220619		-3.62		-3.65	2.92			
WBGene00220620		-4.44						
WBGene00220624		-1.74		-1.73				
WBGene00220643		-0.90		-1.79	1.28	-1.02		
WBGene00220646						-1.68		1.71
WBGene00220652		-2.57		-3.21	2.21	-1.80		1.43
WBGene00220654		-2.09		-2.68	1.79			
WBGene00220655	-2.27		-2.05	1.49		1.50		-1.34
WBGene00220659		1.34		1.61	-1.18	1.20		-1.05
WBGene00220661				-1.85				
WBGene00220664		-2.61		-2.87	2.23	-1.21		
WBGene00220666	1.01	1.04	0.93					
WBGene00220669		-1.54		-2.05	1.61	-1.18		1.11
WBGene00220676				-1.36				
WBGene00220678		-1.00						
WBGene00220685		-0.99						
WBGene00220688		-1.99		-2.27	1.60	-1.16		1.04
WBGene00220696				-1.29	0.97	-0.89		1.10
WBGene00220704		-1.59		-1.54	1.43	-0.99		1.04
WBGene00220706		-1.05		-1.25	0.95	-0.87		0.63
WBGene00220707	0.97	-1.13		-2.09	1.60	-1.19		1.38
WBGene00220712		-2.38		-2.17	1.60	-1.15		
WBGene00220713		-2.05		-2.54	1.87	-1.47		1.61
WBGene00220716		-2.48		-1.73	1.94			
WBGene00220736		-1.15						
WBGene00220737	-1.22							
WBGene00220740		-1.26		-1.14	1.02			0.94
WBGene00220742				-1.95				
WBGene00220744		-3.37		-3.47	2.25	-1.83		
WBGene00220745		0.95		1.22	-1.11	0.73		-0.86
WBGene00220746		-1.53		-1.96	1.48	-0.94		0.95
WBGene00220750				-2.10		-1.69		
WBGene00220753		0.62						
WBGene00220756		-1.17		-1.20	1.00			
WBGene00220757		-1.00		-1.37	1.01	-0.86		0.93
WBGene00220761				1.51	-1.25	1.07		
WBGene00220762		1.36		1.26				
WBGene00220770				-2.22	1.93			1.60
WBGene00220783		-1.86						
WBGene00220787		-2.01		-2.51	1.61	-1.49		
WBGene00220791		-2.58		-2.48	1.88	-1.30		1.10
WBGene00220794		-1.47		-1.57	1.32	-1.09		
WBGene00220802		-1.67		-1.58	1.56			
WBGene00220806		-1.05		-1.13	0.81			
WBGene00220817				1.50	-1.56	1.32		-1.26
WBGene00220828				-1.09	1.01			
WBGene00220834		1.21		1.16	-1.18	1.08		-0.87
WBGene00220835					0.85			0.85
WBGene00220836		-0.84				-0.96		0.75
WBGene00220839				-1.17	1.19			
WBGene00220846		1.16						
WBGene00220865		-1.52		-1.11				
WBGene00220867				-1.68				
WBGene00220873		-4.56						
WBGene00220880				-3.54				
WBGene00220881		-1.91		-1.80	1.57			
WBGene00220882				-0.94	1.17			
WBGene00220885				-1.82				
WBGene00220890		-2.41		-2.11	2.32			1.57
WBGene00220897		0.74						
WBGene00220914		-2.23		-2.21				
WBGene00220921		-1.50		-1.60	1.53			
WBGene00220928		-1.23		-1.31	1.55			
WBGene00220935		-3.05		-2.95				
WBGene00220936				-1.66				
WBGene00220939		-3.18		-2.05				
WBGene00220954		-1.69		-2.65	1.97	-1.67		1.12
WBGene00220960	-2.02	-2.11						
WBGene00220975		-1.47		-2.14	1.86			1.14
WBGene00220980	1.86			-2.26	1.04	-1.14		
WBGene00220985		0.79						
WBGene00220986		-1.45		-1.58	1.07			
WBGene00220990		0.91		1.43	-1.16	1.15		-1.06
