# Gene expression in TPM for each run in  study SRP066610
	SRR2954973	SRR2954974	SRR2954975	SRR2954976	SRR2954979	SRR2954980	SRR2954983	SRR2954984	SRR2954977	SRR2954978	SRR2954981	SRR2954982	SRR2954985	SRR2954986
WBGene00220262	0	0	0	0	0	0	0	0	1.26	1.95	0	1.96	0	0
WBGene00220263	25.27	20.43	50.05	38.2	9.09	4.19	13.39	47.79	45.67	28.94	9.01	5.04	31.66	39.87
WBGene00220265	45.65	31.86	27.73	46.55	99.88	232.68	82.68	52.96	44.1	59.82	128.82	120.16	91.08	84.38
WBGene00220269	36.76	53.79	96.73	85.26	44.8	83.2	22.19	79.19	97.91	64.77	43.78	65.05	107.01	68.42
WBGene00220274	30.83	33.74	49.38	35.53	29.41	15.45	40.46	42.74	54.07	44.09	37.04	61.68	59.6	56.25
WBGene00220275	0.19	0	0	0.13	2.61	3.37	0.12	0.08	0.59	1.15	1.02	1.5	0.1	1.52
WBGene00220276	46.38	39.96	115.26	90.5	58.62	65.74	55.99	95.47	96.08	86.26	88.37	86.63	84.55	66.27
WBGene00220277	30.81	79.06	52.38	25.13	231.08	193.09	62.94	77.6	41.48	41.76	94.83	81.08	47.66	68.97
WBGene00220278	0	3.04	0	0	0	0	0	0	0	6.11	0	0	0	0
WBGene00220280	191.7	176.78	134.25	150.38	129.07	141.68	155.87	143.62	126.84	134.19	143.13	155.09	139.98	135.58
WBGene00220281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220284	1573.21	1497.81	2300.12	2194.4	2196.01	1829.84	2028.37	1676.62	2545.54	2427.04	1295.33	1978.53	1817.25	1961.29
WBGene00220288	30012.46	19225.74	16571.93	46746.39	27713.19	18018.77	26010.43	32212.05	33017.88	47488.6	26405.38	14302.51	17506.36	17340.67
WBGene00220289	8470.92	5387.29	11528.56	6685.09	6399.94	3697.42	4674.91	3957.79	6713.79	8670.21	10315.1	10371.17	5120.42	3943.89
WBGene00220294	16.71	14.67	26.38	66.44	40.73	82.51	10.09	36	50.86	9.81	23.88	19.71	17.69	28.27
WBGene00220302	0	1.01	0	2.3	1.41	1.43	0	0	1.32	0	0	2.05	5.51	0
WBGene00220303	23.53	17.71	3.54	4.46	10.93	27.67	12.18	17.38	20.47	15.8	19.22	19.83	14.24	25.03
WBGene00220306	11.95	13.16	9.62	16.76	7.99	15.61	9.33	26.04	28.34	28.06	15.4	18.24	20.08	16.65
WBGene00220308	16.46	9.63	21.66	49.08	6.69	6.77	19.87	14.18	25.05	38.67	15.68	29.13	17.42	5.57
WBGene00220309	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220310	0	23.15	11.36	4.77	2.92	20.72	4.34	15.49	13.68	21.12	10.28	12.73	19.03	12.17
WBGene00220316	3.1	0	3.26	0	2.52	0	3.74	0	0	0	2.95	3.65	3.28	4.19
WBGene00220317	0.76	3.54	7.16	4	0.61	0.62	0	2.6	3.45	2.66	1.44	0	0.8	2.56
WBGene00220320	36.91	37.12	47.06	51.67	23.23	9.41	33.26	47.93	38.77	42.75	15.35	12.27	37.42	52.07
WBGene00220321	15.98	24.56	14.72	13.24	9.74	11.51	19.3	22.38	15.2	16.43	17.13	21.21	31.72	16.23
WBGene00220328	0.98	0	0	1.3	0	0.81	0	0	0.75	0	0	0	0	0
WBGene00220335	11.67	11.71	3.51	9.95	6.77	4.8	4.03	8.62	13.96	8.81	6.35	5.9	8.83	9.03
WBGene00220337	59.32	69.45	14.69	23.13	5.67	17.23	12.64	18.04	34.53	20.5	16.62	16.47	7.39	11.81
WBGene00220341	8.78	2.57	15.41	11.64	1.19	0	3.53	5.05	15.6	15.48	5.58	1.73	9.3	6.94
WBGene00220346	0	0	0	2.4	0.74	0	0	0	0.69	1.06	0	1.07	0	0.61
WBGene00220348	0	2.41	0	0	0	6.77	9.94	3.55	3.13	4.83	7.84	0	8.71	2.78
WBGene00220352	33.73	55.15	35.51	29.29	40.65	27.76	29.49	39.09	35.41	35.53	36.57	35.68	23.4	44.88
WBGene00220355	82.42	71.53	38.89	86.64	50.81	30.41	72.06	73.48	41.1	50.08	83.94	80.48	63.18	69.25
WBGene00220356	3.47	2.03	0	4.61	0	0	0	1.5	2.64	0	1.66	0	1.84	1.18
WBGene00220358	24.99	33.15	31.56	24.29	40.61	40.44	31.17	29.43	22.18	28.37	37.3	40.29	37.91	31.57
WBGene00220359	44.25	25.9	30.45	27.07	19.36	8.4	22.6	13.2	28.49	17.99	22.7	22.09	34.23	20.73
WBGene00220360	9.19	5.79	7.44	10.31	0.57	2.33	3.41	3.66	4.84	8.3	6.06	10.01	5.24	7.18
WBGene00220368	0	0	0	5.89	0	0	0	7.66	0	0	4.24	0	0	0
WBGene00220376	1528.78	1153.79	2859.31	2104.22	2059.29	2437.18	1412.83	944.49	1773.08	2011.01	1676.94	1608.07	1544.9	1178.27
WBGene00220380	10.54	24.67	33.27	22.69	38.53	23.85	23.85	22.7	25.06	15.47	38.9	48.17	54.37	34.76
WBGene00220387	7660.78	9076.96	5278.19	6958.45	11180.85	6308.59	9398.25	5778.17	4568.23	5238.65	10402.74	7690.4	6544.45	6259.51
WBGene00220389	4.09	2.39	0	0	1.11	0	0	1.17	3.11	0	1.3	0	1.44	1.84
WBGene00220390	2.43	1.18	1.28	1.07	2.96	1.33	0.98	3.14	1.85	1.43	1.93	1.43	1.71	2.19
WBGene00220391	110.55	80.68	54.59	61.5	75.41	97.72	67.56	84.68	61.28	81.76	91.02	122.37	85.24	99.76
WBGene00220396	5.54	6.19	4.77	4.68	2.46	1.66	4.26	6.51	6.14	2.96	5.76	6.54	5.34	3.75
WBGene00220398	62.9	115.91	36.78	37.05	60.58	95.87	70.32	46.18	12.41	30.1	68.81	63.22	56.72	18.92
WBGene00220406	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220407	3.81	10.04	0	5.05	15.49	29.8	23.01	4.93	1.45	8.95	21.79	15.74	10.09	9.03
WBGene00220409	3.4	3.98	3.58	4.5	2.76	0	0	4.39	2.58	3.99	0	0	0	2.3
WBGene00220411	109.23	138.53	136.88	120.65	213.46	267.57	200.96	96.37	102.92	149.7	260.18	190.24	137.66	105.62
WBGene00220416	7.73	11.31	12.2	7.68	10.99	12.72	4.67	11.66	1.47	0	3.68	13.68	14.32	10.46
WBGene00220418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220421	0	0	0	0	3.8	0	0	0	0	0	4.45	0	0	3.16
WBGene00220422	242.32	227.14	136.78	207.14	286.81	380.09	152.64	260.27	227.18	266.09	304.48	339.76	273.25	309.01
WBGene00220424	90.86	100.91	71.12	61.76	151.45	82.45	98.45	70.27	54.96	60.21	77.69	90.7	41.93	59.92
WBGene00220425	7382.57	9748.16	11313.24	9430.45	6246.3	5148.6	8257.4	11442.05	18006.3	14753.99	8234.94	9432.37	7776.61	8706.74
WBGene00220433	10.29	8.91	10.39	4.36	6.69	6.43	5.46	11.7	9.39	8.22	10.58	4.37	12.2	9.19
WBGene00220434	177.22	253.57	103.64	104.4	32	27.01	71.32	67.88	109.9	177.34	93.8	61.95	138.97	146.61
WBGene00220438	71.75	84	39.75	25.03	64.45	43.51	68.39	45.56	40.24	26.62	39.58	75.74	23.99	46.01
WBGene00220439	110.94	100.36	77.86	84.67	68.3	38.74	56.83	69.53	99.79	118.48	54.45	47.6	96.09	43.23
WBGene00220441	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220443	80.7	71.77	66.95	68.01	37.2	35.49	64.86	75.78	61.05	47.26	52.33	52.3	64.52	86.26
WBGene00220444	10.21	3.98	14.33	9.02	0	0	8.22	11.73	20.72	4	6.49	16.06	32.43	4.61
WBGene00220450	19.23	3.75	6.75	8.5	7.81	2.64	7.74	0	9.76	11.3	6.11	7.56	3.39	4.34
WBGene00220454	0	8.72	15.69	0	12.11	0	0	12.84	5.67	0	14.2	0	0	20.17
WBGene00220456	0	4.75	0	0	0	0	0	6.99	0	0	0	0	0	0
WBGene00220457	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220458	0	4.89	8.79	0	3.39	0	0	0	6.36	0	0	4.93	4.42	2.83
WBGene00220460	0	0	0	0	0	0	0	0	1.43	0	0	0	1.99	0
WBGene00220465	12.65	14.8	7.99	13.41	16.44	12.49	15.27	8.72	11.55	17.83	26.51	5.97	13.39	8.56
WBGene00220466	0	0.88	0	0	0	1.24	0	0	1.15	0	0	0	0	0
WBGene00220469	106.99	122.26	82.23	103.54	242.88	183.1	143.52	93.66	77.55	99.75	171.51	164.3	154.61	125.29
WBGene00220477	36.05	52.13	20.09	11.24	41.36	47.13	28.16	12.79	14.53	7.47	26.27	17.51	13.47	18.66
WBGene00220480	0	0	0	0	0	0.86	0	0	0	0	0	0	2.21	0
WBGene00220481	26.54	18.81	19.12	9.26	24.98	33.34	38.79	26.49	5.32	21.33	31.94	31.32	22.18	27.42
WBGene00220483	14.04	18.49	27.09	17.06	46.58	60.66	19.77	19.15	14.24	21.99	20.06	22.08	28.48	21.38
WBGene00220487	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220489	86.43	88.72	32.19	51.11	86.44	95.21	33.71	44.69	46.55	67.16	107.68	90.99	104.16	105.3
WBGene00220491	41.52	41.31	62.06	50.63	145.08	155.82	104.26	52.95	37.28	69.26	102.85	82.29	75.6	79.81
WBGene00220492	199.81	157.63	305.43	453.67	550.65	1348.52	383.89	480.64	401.98	502.1	822.72	783.07	654.79	693.84
WBGene00220494	24.94	16.57	92.95	78.62	15.34	16.09	30.92	89.45	95.41	72.85	35.96	33.4	73.49	60.68
WBGene00220495	0	0	0	0	0	5.53	0	0	0	0	0	0	0	4.55
WBGene00220496	2.32	4.07	2.44	3.07	0	0	2.8	7.99	7.05	2.72	2.21	5.47	2.45	3.14
WBGene00220498	11.09	13.91	6.67	2.1	6.44	11.74	5.74	9.56	2.41	3.72	16.6	1.87	8.39	10.72
WBGene00220499	129.73	94.92	125.18	85.98	81.26	122.35	84.84	128.1	119.3	117.47	118.45	140.31	120.17	164.64
WBGene00220500	0	2.48	4.46	0	0	0	0	0	0	0	0	0	0	0
WBGene00220502	82.55	54.7	29.51	39.22	36.7	29.48	56.41	30.87	32	27.44	19.29	23.89	36.27	33.73
WBGene00220503	153.32	156.73	136.38	168.86	417.63	632.71	359.78	193.53	121.61	190.25	364.15	298.08	258.31	233.85
WBGene00220504	6.45	9.61	9.88	9.33	3.81	5.79	7.08	7.08	8.48	7.58	4.47	9	1.86	3.97
WBGene00220507	0	0	0	0	0	0.24	0	0	0	0.34	0	0	0	0
WBGene00220510	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220511	46.07	28.25	11.55	17.45	62.39	99.31	37.08	32.14	15.03	12.89	50.16	51.76	37.16	34.15
