# Differential expression analysis for study SRP0666115 contrasts  across:timepoint. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Ivermectin 1 uM, 48 h vs Ivermectin 1 uM, 5 d: Ivermectin 1 uM, 5 d - low replicates (2)
# No differentially expressed genes found in contrast: 48 h vs 5 d
	0h vs 48 h	0h vs 5 d	!Ivermectin 1 uM, 48 h vs Ivermectin 1 uM, 5 d	Ivermectin 300 nM, 48 h vs Ivermectin 300 nM, 5 d
WBGene00220491		-2.19		
WBGene00220594		-2.57		
WBGene00220598		-2.63		
WBGene00220914		3.31		
WBGene00220939		-2.61		
WBGene00220996	-0.91	-1.46		
WBGene00221094		-2.25		
WBGene00221117		1.11		
WBGene00221284	3.61	3.08		
WBGene00222007		-0.81		
WBGene00222027		-1.27		
WBGene00222106		-1.03		
WBGene00222121			-1.04	
WBGene00222143			-1.02	
WBGene00222235	1.23			
WBGene00222275		1.79		
WBGene00222278	1.33			
WBGene00222285	-0.81	-1.03		
WBGene00222289		-0.85		
WBGene00222319		0.88		
WBGene00222349	-1.17	-1.57		
WBGene00222363		-1.88		
WBGene00222396		1.12		
WBGene00222407	-1.70			
WBGene00222412		1.40		1.18
WBGene00222477		-1.22		
WBGene00222521	-2.11	-1.98		
WBGene00222581			-1.10	
WBGene00222594				-1.24
WBGene00222611				-1.73
WBGene00222648	1.63	1.76		
WBGene00222649	0.80	0.87		
WBGene00222678		0.97		
WBGene00222682		-1.30		
WBGene00222749	1.28	1.42		
WBGene00222799	-1.45	-1.32		
WBGene00222823		-0.84		
WBGene00222892	1.33			
WBGene00222907		-1.37		
WBGene00222974				-1.09
WBGene00223026	1.14	1.30		
WBGene00223207	0.90	0.97		
WBGene00223440		-0.63		
WBGene00223446		-0.84		
WBGene00223479			-0.82	-0.62
WBGene00223580	-1.34	-1.47		
WBGene00223592			-0.90	
WBGene00223767		-1.52		
WBGene00223824	-3.50	-2.93		
WBGene00223896	-1.84	-1.93		
WBGene00223910	1.43	2.11		
WBGene00223919		0.93		
WBGene00223967	-0.77	-0.81		
WBGene00223968			-1.22	
WBGene00223976	1.32	1.20		
WBGene00223985		-1.06	-1.00	
WBGene00224018		-0.66		
WBGene00224074		0.89		
WBGene00224220		-1.32		
WBGene00224255	-2.05	-2.43		
WBGene00224296		0.96		
WBGene00224356		-0.81		
WBGene00224397	1.23	1.08		
WBGene00224403	-1.62	-1.42		
WBGene00224439				2.47
WBGene00224621	0.98	0.94		
WBGene00224692	2.41	2.34		
WBGene00224764		1.20		
WBGene00224794		-1.54		
WBGene00224877				2.09
WBGene00224894		-3.36		
WBGene00224911		-2.02		
WBGene00224970		-1.74		
WBGene00224994	-0.63	-0.67		
WBGene00225115		1.00		
WBGene00225126	-1.04	-1.14		
WBGene00225141			-1.11	
WBGene00225314	1.92	1.97		
WBGene00225321		-2.28		
WBGene00225336		-1.34		
WBGene00225404		1.82		
WBGene00225405	0.80			
WBGene00225456	0.67			
WBGene00225549				-1.58
WBGene00225658				-1.72
WBGene00225749			-0.88	
WBGene00225778		-2.34		
WBGene00225847		0.78		
WBGene00225848		0.72		
WBGene00225850	-2.43			
WBGene00225866		0.84		
WBGene00225902	-1.02	-1.50		
WBGene00225909	-1.36	-1.38		
WBGene00226033		5.26		
WBGene00226061				-1.63
WBGene00226075			-0.88	
WBGene00226138		1.22		
WBGene00226155		1.22		
WBGene00226275	-1.89	-1.84		
WBGene00226337	1.45	1.49		
WBGene00226416		2.02		
WBGene00226448		0.90		
WBGene00226465		-0.86		
WBGene00226472		-0.71		
WBGene00226479				-1.07
WBGene00226610		2.71		
WBGene00226692		1.01		
WBGene00226708		0.97		
WBGene00226756		1.60		
WBGene00226760	0.93	0.98		
WBGene00226802	0.88	0.96		
