# Gene expression in TPM - median across runs per condition for study SRP066611
# !Ivermectin 1 uM, 5 d: Low replicates (2)
	0h	48 h	5 d	Ivermectin 1 uM, 48 h	!Ivermectin 1 uM, 5 d	Ivermectin 300 nM, 48 h	Ivermectin 300 nM, 5 d
WBGene00220262	0.0	0.0	0.0	6.2	0.0	0.0	0.0
WBGene00220263	23.8	27.1	23.3	20.0	11.8	12.4	17.0
WBGene00220265	29.1	99.6	105.3	160.9	118.6	169.1	120.2
WBGene00220269	98.9	64.6	127.4	137.3	17.2	55.1	69.9
WBGene00220274	43.3	52.4	53.7	50.1	44.9	64.3	56.1
WBGene00220275	0.1	0.4	0.7	0.5	0.0	0.0	0.4
WBGene00220276	57.0	68.1	71.4	57.8	68.6	100.5	60.1
WBGene00220277	72.1	51.9	94.7	63.9	96.6	55.1	70.3
WBGene00220278	0.0	0.0	0.0	0.0	8.7	0.0	0.0
WBGene00220280	207.7	144.8	135.1	169.6	167.2	140.3	139.3
WBGene00220281	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220284	421.5	491.3	930.6	657.9	1377.2	527.0	1028.2
WBGene00220288	4099.3	5222.7	6941.4	6633.3	11009.3	4491.6	8729.4
WBGene00220289	1588.1	2086.0	1823.7	2528.2	2938.2	1851.6	3156.3
WBGene00220294	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220302	0.0	0.0	0.0	0.0	3.2	0.0	0.0
WBGene00220303	12.4	25.4	13.8	0.0	6.3	22.3	14.2
WBGene00220306	12.3	17.1	18.7	13.1	16.1	23.2	11.5
WBGene00220308	30.3	16.7	16.9	22.2	7.7	37.0	17.4
WBGene00220309	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220310	9.9	16.9	0.0	19.0	12.7	11.7	0.0
WBGene00220316	3.0	0.0	10.3	16.4	5.8	10.1	0.0
WBGene00220317	2.2	0.0	2.5	0.8	1.3	0.0	0.0
WBGene00220320	33.6	59.0	46.7	33.6	37.4	34.3	35.7
WBGene00220321	35.8	39.0	6.9	21.5	7.1	53.1	22.8
WBGene00220328	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220335	9.2	11.7	5.1	4.4	8.8	12.5	7.1
WBGene00220337	37.5	39.5	11.6	25.8	12.3	23.2	0.0
WBGene00220341	10.8	11.1	5.1	1.6	5.2	0.0	5.6
WBGene00220346	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220348	11.4	0.0	0.0	8.7	6.9	12.3	17.4
WBGene00220352	45.9	42.4	38.3	37.6	27.1	30.9	38.0
WBGene00220355	51.0	85.9	73.0	42.5	70.9	66.1	102.3
WBGene00220356	6.4	2.7	0.0	0.0	0.0	0.0	0.0
WBGene00220358	28.2	30.6	30.5	31.1	21.1	32.5	22.2
WBGene00220359	36.2	34.5	29.5	19.1	23.7	27.6	14.4
WBGene00220360	8.2	10.5	3.6	5.3	17.6	4.7	9.2
WBGene00220368	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220376	916.3	1119.5	1576.4	1869.2	2708.1	1241.9	2219.8
WBGene00220380	26.7	58.7	73.0	75.1	78.4	68.5	103.4
WBGene00220387	7325.9	8650.5	8864.6	8078.3	8793.2	8768.2	8003.3
WBGene00220389	0.0	0.0	0.0	0.0	2.5	0.0	0.0
WBGene00220390	3.1	1.6	4.2	3.0	2.9	2.6	5.3
WBGene00220391	58.1	128.8	73.0	103.0	58.5	90.0	89.3
WBGene00220396	5.4	6.1	5.0	2.7	2.7	6.0	3.8
WBGene00220398	99.1	70.4	69.8	43.5	44.6	69.6	61.0
WBGene00220406	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220407	15.8	23.2	13.2	14.2	10.3	17.1	24.2
WBGene00220409	3.3	0.0	0.0	0.0	15.5	0.0	0.0
WBGene00220411	149.3	284.5	207.3	233.2	130.3	312.0	238.2
WBGene00220416	20.6	7.3	12.9	28.9	20.1	18.8	0.0
WBGene00220418	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220421	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220422	163.5	252.0	239.8	387.1	265.3	321.2	207.0
WBGene00220424	91.9	132.9	150.9	163.2	108.0	116.0	62.0
WBGene00220425	378.1	427.8	632.1	458.8	844.1	376.9	769.2
WBGene00220433	6.8	7.8	9.3	12.3	5.7	9.9	6.7
WBGene00220434	235.9	169.3	153.0	171.7	218.5	152.6	107.4
WBGene00220438	76.6	38.4	62.9	42.3	14.1	49.1	0.0
WBGene00220439	68.2	38.1	22.4	37.7	35.0	44.6	42.8
WBGene00220441	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220443	51.5	51.9	48.9	64.8	49.2	47.7	63.3
WBGene00220444	13.2	13.8	0.0	0.0	6.4	11.3	11.1
WBGene00220450	12.4	0.0	11.1	0.0	22.0	19.2	0.0
WBGene00220454	14.4	0.0	25.8	40.2	0.0	0.0	0.0
WBGene00220456	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220457	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220458	0.0	0.0	0.0	0.0	0.0	13.9	0.0
WBGene00220460	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00220465	23.3	15.8	10.4	21.4	8.9	25.2	10.7
