Run	Sample	Condition	developmental_stage	sex	strain
SRR332576	SAMN00710576	L1	L1		Baltimore
SRR332578	SAMN00710576	L1	L1		Baltimore
SRR332577	SAMN00710575	L2	L2		Baltimore
SRR332579	SAMN00710575	L2	L2		Baltimore
SRR332580	SAMN00710412	L3 (Activated)	L3 (Activated)		Baltimore
SRR332581	SAMN00710412	L3 (Activated)	L3 (Activated)		Baltimore
SRR3945575	SAMN05433005	L3 (Nonactivated)	L3 (Nonactivated)		Baltimore
SRR3945576	SAMN05433006	L3 (Untreated)	L3 (Untreated)		Baltimore
SRR3945577	SAMN05433007	Larvae	Larvae		Baltimore
SRR3945579	SAMN05433009	"adult, female"	Adult	Female	Baltimore
SRR3945578	SAMN05433008	"adult, male"	Adult	Male	Baltimore
SRR332450	SAMN00710574	eggs	eggs		Baltimore
SRR332575	SAMN00710574	eggs	eggs		Baltimore
