Run	Location	End	Quality
SRR2125572	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/002/SRR2125572	pe	47
SRR2125581	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/001/SRR2125581	pe	46
SRR2125582	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/002/SRR2125582	pe	67
SRR2125583	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/003/SRR2125583	pe	52
SRR2125584	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/004/SRR2125584	pe	50
SRR2125585	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/005/SRR2125585	pe	49
SRR2125586	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/006/SRR2125586	pe	66
SRR2125587	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/007/SRR2125587	pe	63
SRR2125588	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/008/SRR2125588	pe	46
SRR2125589	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/009/SRR2125589	pe	52
SRR2125590	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/000/SRR2125590	pe	53
SRR2125591	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/001/SRR2125591	pe	82
SRR2125593	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/003/SRR2125593	pe	82
SRR2125594	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR212/004/SRR2125594	pe	66
