Run	Sample	Condition	developmental_stage	organism_part	sample_name	source_name	strain	timepoint
SRR504550	SAMN01041195	24hr	embryo		24hr	24hr (1-cell) embryos	North American wild population	24 hr
SRR504551	SAMN01041196	46hr	embryo		46hr	46hr (1-2-cell) embryos	North American wild population	46 hr
SRR504552	SAMN01041197	64hr	embryo		64hr	64hr (2-4-cell) embryos	North American wild population	64 hr
SRR504559	SAMN01041202	female carcass	adult	carcass	female carcass	muscle, hypodermis, pharynx, and neurons	North American wild population	
SRR504560	SAMN01041202	female carcass	adult	carcass	female carcass	muscle, hypodermis, pharynx, and neurons	North American wild population	
SRR504561	SAMN01041202	female carcass	adult	carcass	female carcass	muscle, hypodermis, pharynx, and neurons	North American wild population	
SRR504554	SAMN01041199	intestine	adult	intestine	intestine	intestine	North American wild population	
SRR504553	SAMN01041198	larvae	larvae		larvae	7 days - Larvae L2	North American wild population	
SRR504556	SAMN01041201	male carcass	adult	carcass	male carcass	muscle, hypodermis, pharynx, and neurons	North American wild population	
SRR504557	SAMN01041201	male carcass	adult	carcass	male carcass	muscle, hypodermis, pharynx, and neurons	North American wild population	
SRR504558	SAMN01041201	male carcass	adult	carcass	male carcass	muscle, hypodermis, pharynx, and neurons	North American wild population	
SRR504555	SAMN01041200	muscle	adult	muscle	muscle	muscle (and hypodermis)	North American wild population	
SRR504564	SAMN01041204	ovary	adult	ovary	ovary	ovary germinal zone	North American wild population	
SRR504562	SAMN01041203	testis	adult	testis	testis	testis germinal zone	North American wild population	
SRR504563	SAMN01041203	testis	adult	testis	testis	testis germinal zone	North American wild population	
