Run	Location	End	Quality
SRR3110748	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/008/SRR3110748	pe	86
SRR3111433	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/003/SRR3111433	pe	98
SRR3111490	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/000/SRR3111490	pe	98
SRR3111494	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/004/SRR3111494	pe	98
SRR3111497	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/007/SRR3111497	pe	97
SRR3111501	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/001/SRR3111501	pe	98
SRR3111507	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/007/SRR3111507	pe	98
SRR3111512	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/002/SRR3111512	pe	98
SRR3111516	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/006/SRR3111516	pe	98
SRR3111520	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/000/SRR3111520	pe	97
SRR3111547	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/007/SRR3111547	pe	95
SRR3111569	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/009/SRR3111569	pe	97
SRR3111577	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/007/SRR3111577	pe	97
SRR3111580	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/000/SRR3111580	pe	97
SRR3111628	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/008/SRR3111628	pe	98
SRR3111631	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/001/SRR3111631	pe	98
SRR3111635	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/005/SRR3111635	pe	98
SRR3111637	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/007/SRR3111637	pe	98
SRR3111641	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/001/SRR3111641	pe	93
SRR3111644	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/004/SRR3111644	pe	81
SRR3111645	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/005/SRR3111645	pe	86
SRR3111735	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/005/SRR3111735	pe	24
SRR3111736	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR311/006/SRR3111736	pe	20
SRR5092381	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR509/001/SRR5092381	pe	94
SRR5092382	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR509/002/SRR5092382	pe	95
SRR5098194	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR509/004/SRR5098194	pe	92
SRR5098195	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR509/005/SRR5098195	pe	94
SRR5098264	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR509/004/SRR5098264	pe	75
