Run	Sample	Condition	Life stage	Sex	time	Host
SRR4308246	SAMN05789345	Adult female, 120 dpi	Adult	Female	120 dpi	Meriones unguiculatus
SRR4308247	SAMN05789346	Adult female, 120 dpi	Adult	Female	120 dpi	Meriones unguiculatus
SRR4308252	SAMN05789730	Adult male, 120 dpi	Adult	Male	120 dpi	Meriones unguiculatus
SRR4308253	SAMN05789731	Adult male, 120 dpi	Adult	Male	120 dpi	Meriones unguiculatus
SRR4308258	SAMN05824307	Juvenile female, 30 dpi	Juvenile	Female	30 dpi	Meriones unguiculatus
SRR4308259	SAMN05824310	Juvenile female, 30 dpi	Juvenile	Female	30 dpi	Meriones unguiculatus
SRR4308254	SAMN05824302	Juvenile female, 42 dpi	Juvenile	Female	42 dpi	Meriones unguiculatus
SRR4308255	SAMN05824303	Juvenile female, 42 dpi	Juvenile	Female	42 dpi	Meriones unguiculatus
SRR4308248	SAMN05824311	Juvenile male, 30 dpi	Juvenile	Male	30 dpi	Meriones unguiculatus
SRR4308249	SAMN05824313	Juvenile male, 30 dpi	Juvenile	Male	30 dpi	Meriones unguiculatus
SRR4308256	SAMN05824305	Juvenile male, 42 dpi	Juvenile	Male	42 dpi	Meriones unguiculatus
SRR4308257	SAMN05824306	Juvenile male, 42 dpi	Juvenile	Male	42 dpi	Meriones unguiculatus
SRR4308250	SAMN05824316	L4, 16 dpi	L4		16 dpi	Meriones unguiculatus
SRR4308251	SAMN05824317	L4, 16 dpi	L4		16 dpi	Meriones unguiculatus
