Run	Condition	alias	description	synonym	title	ena_checklist	insdc_center_alias
ERR3346256	ERR3346256	01_wild_type_L4_longRNA.fq.gz	01_wild_type_L4_longRNA.fq.gz	01_wild_type_L4_longRNA.fq.gz	01_wild_type_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346257	ERR3346257	02_sid-2_qt142_L4_longRNA.fq.gz	02_sid-2_qt142_L4_longRNA.fq.gz	02_sid-2_qt142_L4_longRNA.fq.gz	02_sid-2_qt142_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346258	ERR3346258	03_sid-2_mj465_L4_longRNA.fq.gz	03_sid-2_mj465_L4_longRNA.fq.gz	03_sid-2_mj465_L4_longRNA.fq.gz	03_sid-2_mj465_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346259	ERR3346259	04_wild_type_L4_longRNA.fq.gz	04_wild_type_L4_longRNA.fq.gz	04_wild_type_L4_longRNA.fq.gz	04_wild_type_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346260	ERR3346260	05_sid-2_qt142_L4_longRNA.fq.gz	05_sid-2_qt142_L4_longRNA.fq.gz	05_sid-2_qt142_L4_longRNA.fq.gz	05_sid-2_qt142_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346261	ERR3346261	06_sid-2_mj465_L4_longRNA.fq.gz	06_sid-2_mj465_L4_longRNA.fq.gz	06_sid-2_mj465_L4_longRNA.fq.gz	06_sid-2_mj465_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346262	ERR3346262	07_wild_type_L4_longRNA.fq.gz	07_wild_type_L4_longRNA.fq.gz	07_wild_type_L4_longRNA.fq.gz	07_wild_type_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346263	ERR3346263	08_sid-2_qt142_L4_longRNA.fq.gz	08_sid-2_qt142_L4_longRNA.fq.gz	08_sid-2_qt142_L4_longRNA.fq.gz	08_sid-2_qt142_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346264	ERR3346264	09_sid-2_mj465_L4_longRNA.fq.gz	09_sid-2_mj465_L4_longRNA.fq.gz	09_sid-2_mj465_L4_longRNA.fq.gz	09_sid-2_mj465_L4_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346265	ERR3346265	10_wild_type_embryo_longRNA.fq.gz	10_wild_type_embryo_longRNA.fq.gz	10_wild_type_embryo_longRNA.fq.gz	10_wild_type_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346266	ERR3346266	11_sid-2_qt142_embryo_longRNA.fq.gz	11_sid-2_qt142_embryo_longRNA.fq.gz	11_sid-2_qt142_embryo_longRNA.fq.gz	11_sid-2_qt142_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346267	ERR3346267	12_sid-2_mj465_embryo_longRNA.fq.gz	12_sid-2_mj465_embryo_longRNA.fq.gz	12_sid-2_mj465_embryo_longRNA.fq.gz	12_sid-2_mj465_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346269	ERR3346269	14_sid-2_qt142_embryo_longRNA.fq.gz	14_sid-2_qt142_embryo_longRNA.fq.gz	14_sid-2_qt142_embryo_longRNA.fq.gz	14_sid-2_qt142_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346270	ERR3346270	15_sid-2_mj465_embryo_longRNA.fq.gz	15_sid-2_mj465_embryo_longRNA.fq.gz	15_sid-2_mj465_embryo_longRNA.fq.gz	15_sid-2_mj465_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346271	ERR3346271	16_wild_type_embryo_longRNA.fq.gz	16_wild_type_embryo_longRNA.fq.gz	16_wild_type_embryo_longRNA.fq.gz	16_wild_type_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346273	ERR3346273	18_sid-2_mj465_embryo_longRNA.fq.gz	18_sid-2_mj465_embryo_longRNA.fq.gz	18_sid-2_mj465_embryo_longRNA.fq.gz	18_sid-2_mj465_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346274	ERR3346274	19_wild_type_embryo_longRNA.fq.gz	19_wild_type_embryo_longRNA.fq.gz	19_wild_type_embryo_longRNA.fq.gz	19_wild_type_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346275	ERR3346275	20_sid-2_qt142_embryo_longRNA.fq.gz	20_sid-2_qt142_embryo_longRNA.fq.gz	20_sid-2_qt142_embryo_longRNA.fq.gz	20_sid-2_qt142_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346276	ERR3346276	21_sid-2_mj465_embryo_longRNA.fq.gz	21_sid-2_mj465_embryo_longRNA.fq.gz	21_sid-2_mj465_embryo_longRNA.fq.gz	21_sid-2_mj465_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
ERR3346278	ERR3346278	23_sid-2_qt142_embryo_longRNA.fq.gz	23_sid-2_qt142_embryo_longRNA.fq.gz	23_sid-2_qt142_embryo_longRNA.fq.gz	23_sid-2_qt142_embryo_longRNA.fq.gz	ERC000011	GURDON INSTITUTE
