Run	Condition	genotype	sample_name	submitter_id	title	broker_name	developmental_stage	insdc_center_alias	organism_part	sex	strain
ERR4844850	E-MTAB-9771:N2 V1	wild type	E-MTAB-9771:N2 V1	E-MTAB-9771:N2 V1	N2 V1	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844851	E-MTAB-9771:N2 V2	wild type	E-MTAB-9771:N2 V2	E-MTAB-9771:N2 V2	N2 V2	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844852	E-MTAB-9771:N2 V3	wild type	E-MTAB-9771:N2 V3	E-MTAB-9771:N2 V3	N2 V3	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844844	E-MTAB-9771:dat-1p::xbp-1s V1	xbp-1s overexpression in dopamine neurons	E-MTAB-9771:dat-1p::xbp-1s V1	E-MTAB-9771:dat-1p::xbp-1s V1	dat-1p::xbp-1s V1	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844845	E-MTAB-9771:dat-1p::xbp-1s V2	xbp-1s overexpression in dopamine neurons	E-MTAB-9771:dat-1p::xbp-1s V2	E-MTAB-9771:dat-1p::xbp-1s V2	dat-1p::xbp-1s V2	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844846	E-MTAB-9771:dat-1p::xbp-1s V3	xbp-1s overexpression in dopamine neurons	E-MTAB-9771:dat-1p::xbp-1s V3	E-MTAB-9771:dat-1p::xbp-1s V3	dat-1p::xbp-1s V3	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844847	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V1	xbp-1s overexpression in dopamine and serotonin neurons	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V1	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V1	dat-1p::xbp-1s, tph-1p::xbp-1s V1	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844848	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V2	xbp-1s overexpression in dopamine and serotonin neurons	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V2	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V2	dat-1p::xbp-1s, tph-1p::xbp-1s V2	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844849	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V3	xbp-1s overexpression in dopamine and serotonin neurons	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V3	E-MTAB-9771:dat-1p::xbp-1s, tph-1p::xbp-1s V3	dat-1p::xbp-1s, tph-1p::xbp-1s V3	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844853	E-MTAB-9771:rab-3p::xbp-1s V1	xbp-1s overexpression in all neurons	E-MTAB-9771:rab-3p::xbp-1s V1	E-MTAB-9771:rab-3p::xbp-1s V1	rab-3p::xbp-1s V1	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844854	E-MTAB-9771:rab-3p::xbp-1s V2	xbp-1s overexpression in all neurons	E-MTAB-9771:rab-3p::xbp-1s V2	E-MTAB-9771:rab-3p::xbp-1s V2	rab-3p::xbp-1s V2	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844855	E-MTAB-9771:rab-3p::xbp-1s V3	xbp-1s overexpression in all neurons	E-MTAB-9771:rab-3p::xbp-1s V3	E-MTAB-9771:rab-3p::xbp-1s V3	rab-3p::xbp-1s V3	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844856	E-MTAB-9771:tph-1p::xbp-1s V1	xbp-1s overexpression in serotonin neurons	E-MTAB-9771:tph-1p::xbp-1s V1	E-MTAB-9771:tph-1p::xbp-1s V1	tph-1p::xbp-1s V1	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844857	E-MTAB-9771:tph-1p::xbp-1s V2	xbp-1s overexpression in serotonin neurons	E-MTAB-9771:tph-1p::xbp-1s V2	E-MTAB-9771:tph-1p::xbp-1s V2	tph-1p::xbp-1s V2	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
ERR4844858	E-MTAB-9771:tph-1p::xbp-1s V3	xbp-1s overexpression in serotonin neurons	E-MTAB-9771:tph-1p::xbp-1s V3	E-MTAB-9771:tph-1p::xbp-1s V3	tph-1p::xbp-1s V3	ArrayExpress	adult	UNIVERSITY OF CALIFORNIA BERKELEY	whole organism	hermaphrodite	N2
