Run	Location	End	Quality
ERR4844844	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/004/ERR4844844	pe	91
ERR4844845	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/005/ERR4844845	pe	90
ERR4844846	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/006/ERR4844846	pe	90
ERR4844847	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/007/ERR4844847	pe	88
ERR4844848	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/008/ERR4844848	pe	91
ERR4844849	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/009/ERR4844849	pe	90
ERR4844850	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/000/ERR4844850	pe	90
ERR4844851	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/001/ERR4844851	pe	90
ERR4844852	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/002/ERR4844852	pe	90
ERR4844853	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/003/ERR4844853	pe	91
ERR4844854	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/004/ERR4844854	pe	90
ERR4844855	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/005/ERR4844855	pe	90
ERR4844856	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/006/ERR4844856	pe	91
ERR4844857	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/007/ERR4844857	pe	90
ERR4844858	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR484/008/ERR4844858	pe	89
