Run	Condition	sample_name	source_name	time_after_treatment	developmental_stage	organism_part	strain	treatment
SRR847930	Rep1 1h	Rep1 1h	L1-stage N2 worms, 1h	1h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847931	Rep1 2h	Rep1 2h	L1-stage N2 worms, 2h	2h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847932	Rep1 4h	Rep1 4h	L1-stage N2 worms, 4h	4h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847933	Rep1 6h	Rep1 6h	L1-stage N2 worms, 6h	6h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847934	Rep1 8h	Rep1 8h	L1-stage N2 worms, 8h	8h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847935	Rep2 1h	Rep2 1h	L1-stage N2 worms, 1h	1h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847936	Rep2 2h	Rep2 2h	L1-stage N2 worms, 2h	2h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847937	Rep2 4h	Rep2 4h	L1-stage N2 worms, 4h	4h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847938	Rep2 6h	Rep2 6h	L1-stage N2 worms, 6h	6h	L1	whole organism	Bristol N2	alpha-amanitin
SRR847939	Rep2 8h	Rep2 8h	L1-stage N2 worms, 8h	8h	L1	whole organism	Bristol N2	alpha-amanitin
