Run	Condition	developmental_stage	organism_part	sex	strain
SRR962221	110 min post first-cleavage, AB	110 min post first-cleavage	AB	hermaphrodite	N2
SRR962222	110 min post first-cleavage, AB	110 min post first-cleavage	AB	hermaphrodite	N2
SRR962245	110 min post first-cleavage, C	110 min post first-cleavage	C	hermaphrodite	N2
SRR962246	110 min post first-cleavage, C	110 min post first-cleavage	C	hermaphrodite	N2
SRR962172	110 min post first-cleavage, E	110 min post first-cleavage	E	hermaphrodite	N2
SRR962195	110 min post first-cleavage, MS	110 min post first-cleavage	MS	hermaphrodite	N2
SRR962196	110 min post first-cleavage, MS	110 min post first-cleavage	MS	hermaphrodite	N2
SRR962197	110 min post first-cleavage, MS	110 min post first-cleavage	MS	hermaphrodite	N2
SRR962264	110 min post first-cleavage, ventral cord blast cell	110 min post first-cleavage	ventral cord blast cell	hermaphrodite	N2
SRR962098	120 min post first-cleavage, organism	120 min post first-cleavage	organism	hermaphrodite	N2
SRR962223	140 min post first-cleavage, AB	140 min post first-cleavage	AB	hermaphrodite	N2
SRR962248	140 min post first-cleavage, C	140 min post first-cleavage	C	hermaphrodite	N2
SRR962173	140 min post first-cleavage, E	140 min post first-cleavage	E	hermaphrodite	N2
SRR962174	140 min post first-cleavage, E	140 min post first-cleavage	E	hermaphrodite	N2
SRR962175	140 min post first-cleavage, E	140 min post first-cleavage	E	hermaphrodite	N2
SRR962099	140 min post first-cleavage, organism	140 min post first-cleavage	organism	hermaphrodite	N2
SRR962266	140 min post first-cleavage, ventral cord blast cell	140 min post first-cleavage	ventral cord blast cell	hermaphrodite	N2
SRR962267	140 min post first-cleavage, ventral cord blast cell	140 min post first-cleavage	ventral cord blast cell	hermaphrodite	N2
SRR962268	140 min post first-cleavage, ventral cord blast cell	140 min post first-cleavage	ventral cord blast cell	hermaphrodite	N2
SRR962100	150 min post first-cleavage, organism	150 min post first-cleavage	organism	hermaphrodite	N2
SRR962101	170 min post first-cleavage, organism	170 min post first-cleavage	organism	hermaphrodite	N2
SRR962225	180 min post first-cleavage, AB	180 min post first-cleavage	AB	hermaphrodite	N2
SRR962226	180 min post first-cleavage, AB	180 min post first-cleavage	AB	hermaphrodite	N2
SRR962227	180 min post first-cleavage, AB	180 min post first-cleavage	AB	hermaphrodite	N2
SRR962249	180 min post first-cleavage, C	180 min post first-cleavage	C	hermaphrodite	N2
SRR962250	180 min post first-cleavage, C	180 min post first-cleavage	C	hermaphrodite	N2
SRR962176	180 min post first-cleavage, E	180 min post first-cleavage	E	hermaphrodite	N2
SRR962177	180 min post first-cleavage, E	180 min post first-cleavage	E	hermaphrodite	N2
SRR962178	180 min post first-cleavage, E	180 min post first-cleavage	E	hermaphrodite	N2
SRR962202	180 min post first-cleavage, MS	180 min post first-cleavage	MS	hermaphrodite	N2
SRR962203	180 min post first-cleavage, MS	180 min post first-cleavage	MS	hermaphrodite	N2
SRR962102	180 min post first-cleavage, organism	180 min post first-cleavage	organism	hermaphrodite	N2
