Run	Location	End	Quality
SRR1630867	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/007/SRR1630867	se	94
SRR1630868	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/008/SRR1630868	se	93
SRR1630869	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/009/SRR1630869	se	93
SRR1630870	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/000/SRR1630870	se	75
SRR1630871	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/001/SRR1630871	se	94
SRR1630872	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/002/SRR1630872	se	94
SRR1630873	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/003/SRR1630873	se	94
SRR1630874	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/004/SRR1630874	se	93
SRR1630875	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/005/SRR1630875	se	94
SRR1630876	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/006/SRR1630876	se	94
SRR1630877	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/007/SRR1630877	se	93
SRR1630878	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/008/SRR1630878	se	93
SRR1630879	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/009/SRR1630879	se	94
SRR1630880	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/000/SRR1630880	se	94
SRR1630881	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/001/SRR1630881	se	94
SRR1630882	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/002/SRR1630882	se	94
SRR1630883	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/003/SRR1630883	se	94
SRR1630884	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/004/SRR1630884	se	94
SRR1630885	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/005/SRR1630885	se	94
SRR1630886	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR163/006/SRR1630886	se	94
