Run	Condition	genotype	title	developmental_stage	source_name
SRR6308307	SRR6308307	daf-2	daf-2 rep 1 [day 2]	day 2	whole C. elegans
SRR6308308	SRR6308308	daf-2	daf-2 rep 2 [day 2]	day 2	whole C. elegans
SRR6308309	SRR6308309	daf-2	daf-2 rep 3 [day 2]	day 2	whole C. elegans
SRR6308310	SRR6308310	spr-4;spr-3;daf-2	spr-4;spr-3;daf-2 rep 1 [day 2]	day 2	whole C. elegans
SRR6308311	SRR6308311	spr-4;spr-3;daf-2	spr-4;spr-3;daf-2 rep 2 [day 2]	day 2	whole C. elegans
SRR6308312	SRR6308312	spr-4;spr-3;daf-2	spr-4;spr-3;daf-2 rep 3 [day 2]	day 2	whole C. elegans
SRR6308313	SRR6308313	N2	N2 rep 1 [day 2]	day 2	whole C. elegans
SRR6308314	SRR6308314	N2	N2 rep 2 [day 2]	day 2	whole C. elegans
SRR6308315	SRR6308315	N2	N2 rep 3 [day 2]	day 2	whole C. elegans
SRR6308316	SRR6308316	spr-4;spr-3	spr-4;spr-3 rep 1 [day 2]	day 2	whole C. elegans
SRR6308317	SRR6308317	spr-4;spr-3	spr-4;spr-3 rep 2 [day 2]	day 2	whole C. elegans
SRR6308318	SRR6308318	spr-4;spr-3	spr-4;spr-3 rep 3 [day 2]	day 2	whole C. elegans
