Run	Condition	genotype	title	organism_part	source_name
SRR6666828	SRR6666828	wild type	WT_B1	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666829	SRR6666829	wild type	WT_B2	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666830	SRR6666830	wild type	WT_B3	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666831	SRR6666831	mutant set2	set2_B1	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666832	SRR6666832	mutant set2	set2_B5	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666833	SRR6666833	mutant set2	set2_B2	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666834	SRR6666834	mutant cfp1	cfp1_B2	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666835	SRR6666835	mutant cfp1	cfp1_B4	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666836	SRR6666836	mutant cfp1	cfp1_B5	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666837	SRR6666837	mutant sin3	sin3_B4	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
SRR6666838	SRR6666838	mutant sin3	sin3_B6	embryos	The material is RNA extracted from C. elegans embryos using the Nucleozol preparation protocol from Macherey Nagel.
