Run	Condition	genotype	time	title	treatment	medium	source_name	strain	temperature
SRR6757036	SRR6757036	clec-4 (ok2050)	6 h	clec-4_OP_6h-Rep1	OP50	mNGM	whole body		20°C
SRR6757037	SRR6757037	clec-4 (ok2050)	6 h	clec-4_OP_6h-Rep2	OP50	mNGM	whole body		20°C
SRR6757038	SRR6757038	clec-4 (ok2050)	6 h	clec-4_OP_6h-Rep3	OP50	mNGM	whole body		20°C
SRR6757039	SRR6757039	wild type	6 h	N2_OP_6h-Rep1	OP50	mNGM	whole body	N2	20°C
SRR6757040	SRR6757040	wild type	6 h	N2_OP_6h-Rep2	OP50	mNGM	whole body	N2	20°C
SRR6757041	SRR6757041	wild type	6 h	N2_OP_6h-Rep3	OP50	mNGM	whole body	N2	20°C
SRR6757042	SRR6757042	clec-4 (ok2050)	6 h	clec-4_BT407_6h-Rep1	BT407	mNGM	whole body		20°C
SRR6757043	SRR6757043	clec-4 (ok2050)	6 h	clec-4_BT407_6h-Rep2	BT407	mNGM	whole body		20°C
SRR6757044	SRR6757044	clec-4 (ok2050)	6 h	clec-4_BT407_6h-Rep3	BT407	mNGM	whole body		20°C
SRR6757045	SRR6757045	wild type	6 h	N2_BT407_6h-Rep1	BT407	mNGM	whole body	N2	20°C
SRR6757046	SRR6757046	wild type	6 h	N2_BT407_6h-Rep2	BT407	mNGM	whole body	N2	20°C
SRR6757047	SRR6757047	wild type	6 h	N2_BT407_6h-Rep3	BT407	mNGM	whole body	N2	20°C
SRR6757048	SRR6757048	clec-4 (ok2050)	6 h	clec-4_BT247_6h-Rep1	BT18247	mNGM	whole body		20°C
SRR6757049	SRR6757049	clec-4 (ok2050)	6 h	clec-4_BT247_6h-Rep2	BT18247	mNGM	whole body		20°C
SRR6757050	SRR6757050	clec-4 (ok2050)	6 h	clec-4_BT247_6h-Rep3	BT18247	mNGM	whole body		20°C
SRR6757051	SRR6757051	wild type	6 h	N2_BT247_6h-Rep1	BT18247	mNGM	whole body	N2	20°C
SRR6757052	SRR6757052	wild type	6 h	N2_BT247_6h-Rep2	BT18247	mNGM	whole body	N2	20°C
SRR6757053	SRR6757053	wild type	6 h	N2_BT247_6h-Rep3	BT18247	mNGM	whole body	N2	20°C
SRR6757054	SRR6757054	clec-4 (ok2050)	6 h	clec-4_BT679_6h-Rep1	BT18679	mNGM	whole body		20°C
SRR6757055	SRR6757055	clec-4 (ok2050)	6 h	clec-4_BT679_6h-Rep2	BT18679	mNGM	whole body		20°C
SRR6757056	SRR6757056	clec-4 (ok2050)	6 h	clec-4_BT679_6h-Rep3	BT18679	mNGM	whole body		20°C
SRR6757057	SRR6757057	wild type	6 h	N2_BT679_6h-Rep1	BT18679	mNGM	whole body	N2	20°C
SRR6757058	SRR6757058	wild type	6 h	N2_BT679_6h-Rep2	BT18679	mNGM	whole body	N2	20°C
SRR6757059	SRR6757059	wild type	6 h	N2_BT679_6h-Rep3	BT18679	mNGM	whole body	N2	20°C
SRR6757060	SRR6757060	clec-4 (ok2050)	12 h	clec-4_OP_12h-Rep1	OP50	mNGM	whole body		20°C
SRR6757061	SRR6757061	clec-4 (ok2050)	12 h	clec-4_OP_12h-Rep2	OP50	mNGM	whole body		20°C
SRR6757062	SRR6757062	clec-4 (ok2050)	12 h	clec-4_OP_12h-Rep3	OP50	mNGM	whole body		20°C
SRR6757063	SRR6757063	wild type	12 h	N2_OP_12h-Rep1	OP50	mNGM	whole body	N2	20°C
SRR6757064	SRR6757064	wild type	12 h	N2_OP_12h-Rep2	OP50	mNGM	whole body	N2	20°C
SRR6757065	SRR6757065	wild type	12 h	N2_OP_12h-Rep3	OP50	mNGM	whole body	N2	20°C
SRR6757066	SRR6757066	clec-4 (ok2050)	12 h	clec-4_BT407_12h-Rep1	BT407	mNGM	whole body		20°C
SRR6757067	SRR6757067	clec-4 (ok2050)	12 h	clec-4_BT407_12h-Rep2	BT407	mNGM	whole body		20°C
SRR6757068	SRR6757068	clec-4 (ok2050)	12 h	clec-4_BT407_12h-Rep3	BT407	mNGM	whole body		20°C
