Run	Condition	timepoint	title	transfection	source_name
SRR6830316	SRR6830316	6 h	elt-2_RNAi_BT679_6h_rep1	elt-2 RNAi	whole body
SRR6830317	SRR6830317	6 h	elt-2_RNAi_BT679_6h_rep2	elt-2 RNAi	whole body
SRR6830318	SRR6830318	6 h	elt-2_RNAi_BT679_6h_rep3	elt-2 RNAi	whole body
SRR6830319	SRR6830319	6 h	Empty_vector_BT679_6h_rep1	empty vector	whole body
SRR6830320	SRR6830320	6 h	Empty_vector_BT679_6h_rep2	empty vector	whole body
SRR6830321	SRR6830321	6 h	Empty_vector_BT679_6h_rep3	empty vector	whole body
SRR6830322	SRR6830322	12 h	elt-2_RNAi_BT679_12h_rep1	elt-2 RNAi	whole body
SRR6830323	SRR6830323	12 h	elt-2_RNAi_BT679_12h_rep2	elt-2 RNAi	whole body
SRR6830324	SRR6830324	12 h	elt-2_RNAi_BT679_12h_rep3	elt-2 RNAi	whole body
SRR6830325	SRR6830325	12 h	Empty_vector_BT679_12h_rep1	empty vector	whole body
SRR6830326	SRR6830326	12 h	Empty_vector_BT679_12h_rep2	empty vector	whole body
SRR6830327	SRR6830327	12 h	Empty_vector_BT679_12h_rep3	empty vector	whole body
SRR6830328	SRR6830328	6 h	elt-2_RNAi_BT247_6h_rep1	elt-2 RNAi	whole body
SRR6830329	SRR6830329	6 h	elt-2_RNAi_BT247_6h_rep2	elt-2 RNAi	whole body
SRR6830330	SRR6830330	6 h	elt-2_RNAi_BT247_6h_rep3	elt-2 RNAi	whole body
SRR6830331	SRR6830331	6 h	Empty_vector_BT247_6h_rep1	empty vector	whole body
SRR6830332	SRR6830332	6 h	Empty_vector_BT247_6h_rep2	empty vector	whole body
SRR6830333	SRR6830333	6 h	Empty_vector_BT247_6h_rep3	empty vector	whole body
SRR6830334	SRR6830334	12 h	elt-2_RNAi_BT247_12h_rep1	elt-2 RNAi	whole body
SRR6830335	SRR6830335	12 h	elt-2_RNAi_BT247_12h_rep2	elt-2 RNAi	whole body
SRR6830336	SRR6830336	12 h	elt-2_RNAi_BT247_12h_rep3	elt-2 RNAi	whole body
SRR6830337	SRR6830337	12 h	Empty_vector_BT247_12h_rep1	empty vector	whole body
SRR6830338	SRR6830338	12 h	Empty_vector_BT247_12h_rep2	empty vector	whole body
SRR6830339	SRR6830339	12 h	Empty_vector_BT247_12h_rep3	empty vector	whole body
SRR6830340	SRR6830340	6 h	elt-2_RNAi_BT407_6h_rep1	elt-2 RNAi	whole body
SRR6830341	SRR6830341	6 h	elt-2_RNAi_BT407_6h_rep2	elt-2 RNAi	whole body
SRR6830342	SRR6830342	6 h	elt-2_RNAi_BT407_6h_rep3	elt-2 RNAi	whole body
SRR6830343	SRR6830343	6 h	Empty_vector_BT407_6h_rep1	empty vector	whole body
SRR6830344	SRR6830344	6 h	Empty_vector_BT407_6h_rep2	empty vector	whole body
SRR6830345	SRR6830345	6 h	Empty_vector_BT407_6h_rep3	empty vector	whole body
SRR6830346	SRR6830346	12 h	elt-2_RNAi_BT407_12h_rep1	elt-2 RNAi	whole body
SRR6830347	SRR6830347	12 h	elt-2_RNAi_BT407_12h_rep2	elt-2 RNAi	whole body
SRR6830348	SRR6830348	12 h	elt-2_RNAi_BT407_12h_rep3	elt-2 RNAi	whole body
SRR6830349	SRR6830349	12 h	Empty_vector_BT407_12h_rep1	empty vector	whole body
SRR6830350	SRR6830350	12 h	Empty_vector_BT407_12h_rep2	empty vector	whole body
SRR6830351	SRR6830351	12 h	Empty_vector_BT407_12h_rep3	empty vector	whole body
