Run	Condition	title	developmental_stage	organism_part	source_name
SRR7446945	SRR7446945	n2_nrde1_control	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446946	SRR7446946	nrde1_yp5_early	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446947	SRR7446947	nrde1_yp5_late	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446948	SRR7446948	nrde1_yp4_early	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446949	SRR7446949	nrde1_yp4_late	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446950	SRR7446950	nrde4_early_1	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446951	SRR7446951	nrde4_early_2	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446952	SRR7446952	nrde4_early_3	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446953	SRR7446953	nrde4_late_1	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446954	SRR7446954	nrde4_late_2	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446955	SRR7446955	nrde4_late_3	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446956	SRR7446956	n2_nrde4_control_early_1	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446957	SRR7446957	n2_nrde4_control_early_2	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446958	SRR7446958	n2_nrde4_control_early_3	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446959	SRR7446959	n2_nrde4_control_late_1	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446960	SRR7446960	n2_nrde4_control_late_2	L4 larvae	whole organism	whole worm (L4 larvae)
SRR7446961	SRR7446961	n2_nrde4_control_late_3	L4 larvae	whole organism	whole worm (L4 larvae)
