Run	Condition	birth_location	description_title	sample_name	cultivar	developmental_stage	organism_part	sex	strain
SRR7618084	blank_1	blank replicate plate 1	control worms	blank_1	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618083	blank_2	blank replicate plate 2	control worms	blank_2	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618085	blank_3	blank replicate plate 3	control worms	blank_3	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618082	blank_4	blank replicate plate 4	control worms	blank_4	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618081	glycine_1	glycine replicate plate 1	glycine treated worms	glycine_1	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618080	glycine_2	glycine replicate plate 2	glycine treated worms	glycine_2	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618079	glycine_3	glycine replicate plate 3	glycine treated worms	glycine_3	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618078	glycine_4	glycine replicate plate 4	glycine treated worms	glycine_4	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618077	serine_1	serine replicate plate 1	serine treated worms	serine_1	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618076	serine_2	serine replicate plate 2	serine treated worms	serine_2	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618087	serine_3	serine replicate plate 3	serine treated worms	serine_3	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
SRR7618086	serine_4	serine replicate plate 4	serine treated worms	serine_4	Caenorhabditis Genetics Center (CGC, University of Minnesota)	young adule	whole organism	hermaphrodite	N2 Bristol
