Run	Condition	description_title	generations	strain	developmental_stage	sex	source_name
SRR7685414	SRR7685414	RNA-seq, N2, 23C for three generations	3	N2	young adult	hermaphrodite	C. elegans young adults
SRR7685415	SRR7685415	nuclear enriched RNA-seq, N2, 23C for three generations	3	N2	young adult	hermaphrodite	C. elegans young adults
SRR7685416	SRR7685416	cytoplasmic enriched RNA-seq, N2, 23C for three generations	3	N2	young adult	hermaphrodite	C. elegans young adults
SRR7685417	SRR7685417	RNA-seq, hrde-1(tm1200) mutant, 23C for three generations	3	hrde-1(tm1200)	young adult	hermaphrodite	C. elegans young adults
SRR7685418	SRR7685418	nuclear enriched RNA-seq, hrde-1(tm1200) mutant, 23C for three generations	3	hrde-1(tm1200)	young adult	hermaphrodite	C. elegans young adults
SRR7685419	SRR7685419	cytoplasmic enriched RNA-seq, hrde-1(tm1200) mutant, 23C for three generations	3	hrde-1(tm1200)	young adult	hermaphrodite	C. elegans young adults
SRR7685420	SRR7685420	RNA-seq, N2, 23C for four generations	4	N2	young adult	hermaphrodite	C. elegans young adults
SRR7685421	SRR7685421	nuclear enriched RNA-seq, N2, 23C for four generations	4	N2	young adult	hermaphrodite	C. elegans young adults
SRR7685422	SRR7685422	cytoplasmic enriched RNA-seq, N2, 23C for four generations	4	N2	young adult	hermaphrodite	C. elegans young adults
SRR7685423	SRR7685423	RNA-seq, hrde-1(tm1200) mutant, 23C for four generations	4	hrde-1(tm1200)	young adult	hermaphrodite	C. elegans young adults
SRR7685424	SRR7685424	nuclear enriched RNA-seq, hrde-1(tm1200) mutant, 23C for four generations	4	hrde-1(tm1200)	young adult	hermaphrodite	C. elegans young adults
SRR7685425	SRR7685425	cytoplasmic enriched RNA-seq, hrde-1(tm1200) mutant, 23C for four generations	4	hrde-1(tm1200)	young adult	hermaphrodite	C. elegans young adults
