Run	Condition	developmental_stage	generation	genotype	sample_name	sex	strain	description_title	organism_part
SRR8081064	Mutant F1 rep1	Young Adult	F3	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F1 rep1	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081060	Mutant F1 rep2	Young Adult	F3	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F1 rep2	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081070	Mutant F1 rep3	Young Adult	F3	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F1 rep3	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081067	Mutant F1 rep4	Young Adult	F3	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F1 rep4	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081066	Mutant F2 rep1	Young Adult	F4	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F2 rep1	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081073	Mutant F2 rep2	Young Adult	F4	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F2 rep2	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081072	Mutant F2 rep3	Young Adult	F4	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F2 rep3	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081106	Mutant F2 rep4	Young Adult	F4	dpy-4(e1166);gtsf-1(xf43) IV	Mutant F2 rep4	hermaphrodite	Derived from cross of N2 with RKF457.	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081103	N2 L1 rep1	L1		N2 wild-type	N2 L1 rep1	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans	whole organism
SRR8081078	N2 L1 rep2	L1		N2 wild-type	N2 L1 rep2	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans	whole organism
