Run	Condition	developmental_stage	genotype	title	source_name	strain
SRR8128838	SRR8128838	L4	wild type	WT L4 rep 1	whole worms	N2 Bristol
SRR8128839	SRR8128839	L4	wild type	WT L4 rep 2	whole worms	N2 Bristol
SRR8128840	SRR8128840	L4	wild type	WT L4 rep 3	whole worms	N2 Bristol
SRR8128841	SRR8128841	L4	lax105 (alh-6)	alh-6 L4 rep 1	whole worms	N2 Bristol
SRR8128842	SRR8128842	L4	lax105 (alh-6)	alh-6 L4 rep 2	whole worms	N2 Bristol
SRR8128843	SRR8128843	L4	lax105 (alh-6)	alh-6 L4 rep 3	whole worms	N2 Bristol
SRR8128844	SRR8128844	Day 3 adult	wild type	WT day 3 rep 1	whole worms	N2 Bristol
SRR8128845	SRR8128845	Day 3 adult	wild type	WT day 3 rep 2	whole worms	N2 Bristol
SRR8128846	SRR8128846	Day 3 adult	wild type	WT day 3 rep 3	whole worms	N2 Bristol
SRR8128847	SRR8128847	Day 3 adult	lax105 (alh-6)	alh-6 day 3 rep 1	whole worms	N2 Bristol
SRR8128848	SRR8128848	Day 3 adult	lax105 (alh-6)	alh-6 day 3 rep 2	whole worms	N2 Bristol
SRR8128849	SRR8128849	Day 3 adult	lax105 (alh-6)	alh-6 day 3 rep 3	whole worms	N2 Bristol
