Run	Condition	description_title	developmental_stage	source_name
SRR8241130	SRR8241130	WT 1	L4	whole body
SRR8241131	SRR8241131	WT 2	L4	whole body
SRR8241132	SRR8241132	WT 3	L4	whole body
SRR8241133	SRR8241133	WT 4	L4	whole body
SRR8241134	SRR8241134	WT 5	L4	whole body
SRR8241135	SRR8241135	gas-1(fc21) 1	L4	whole body
SRR8241136	SRR8241136	gas-1(fc21) 2	L4	whole body
SRR8241137	SRR8241137	gas-1(fc21) 3	L4	whole body
SRR8241138	SRR8241138	gas-1(fc21) 4	L4	whole body
SRR8241139	SRR8241139	gas-1(fc21) 5	L4	whole body
SRR8241140	SRR8241140	age-1(hx546); gas-1(fc21) 1	L4	whole body
SRR8241141	SRR8241141	age-1(hx546); gas-1(fc21) 2	L4	whole body
SRR8241142	SRR8241142	age-1(hx546); gas-1(fc21) 3	L4	whole body
SRR8241143	SRR8241143	age-1(hx546); gas-1(fc21) 4	L4	whole body
SRR8241144	SRR8241144	age-1(hx546); gas-1(fc21) 5	L4	whole body
