Run	Condition	description_title	genotype	source_name	organism_part	strain
SRR8285099	SRR8285099	hybrid hermaphrodite germlines from K27me3 M+P-, rep1	mes-3/+; fem-2/+	hybrid hermaphrodite germlines from K27me3 M+P-	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285100	SRR8285100	hybrid hermaphrodite germlines from K27me3 M+P-, rep2	mes-3/+; fem-2/+	hybrid hermaphrodite germlines from K27me3 M+P-	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285101	SRR8285101	hybrid hermaphrodite germlines from K27me3 M+P-, rep3	mes-3/+; fem-2/+	hybrid hermaphrodite germlines from K27me3 M+P-	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285102	SRR8285102	hybrid hermaphrodite germlines from K27me3 M+P-, rep4	mes-3/+; fem-2/+	hybrid hermaphrodite germlines from K27me3 M+P-	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285104	SRR8285104	hybrid hermaphrodite germlines from K27me3 M+P+, rep2	mes-3/+; fem-2/+	hybrid hermaphrodite germlines from K27me3 M+P+	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285105	SRR8285105	hybrid hermaphrodite germlines from K27me3 M+P+, rep3	mes-3/+; fem-2/+	hybrid hermaphrodite germlines from K27me3 M+P+	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285106	SRR8285106	hybrid hermaphrodite germlines from K27me3 M+P+, rep4	mes-3/+; fem-2/+	hybrid hermaphrodite germlines from K27me3 M+P+	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285107	SRR8285107	wildtype hybrid hermaphrodite germlines, rep1	fem-2/+	wildtype hybrid hermaphrodite germlines	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285108	SRR8285108	wildtype hybrid hermaphrodite germlines, rep2	fem-2/+	wildtype hybrid hermaphrodite germlines	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285109	SRR8285109	wildtype hybrid hermaphrodite germlines, rep3	fem-2/+	wildtype hybrid hermaphrodite germlines	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
SRR8285110	SRR8285110	wildtype hybrid hermaphrodite germlines, rep4	fem-2/+	wildtype hybrid hermaphrodite germlines	distal gonad arms cut at the late-pachytene gonad bend	hybrid (hawaii mother and bristol father)
