Run	Condition	description_title	genotype	cell_type	developmental_stage	source_name
SRR8330411	SRR8330411	ce_krit1_rep1	Kri-1 null (ccm1/kri-1(ok1251) knock out)	entire organism	24 hours past the L4 state	entire organism
SRR8330412	SRR8330412	ce_krit1_rep2	Kri-1 null (ccm1/kri-1(ok1251) knock out)	entire organism	24 hours past the L4 state	entire organism
SRR8330413	SRR8330413	ce_krit1_rep3	Kri-1 null (ccm1/kri-1(ok1251) knock out)	entire organism	24 hours past the L4 state	entire organism
SRR8330414	SRR8330414	ce_krit1_control_rep1	Kri-1 wild type control (N2)	entire organism	24 hours past the L4 state	entire organism
SRR8330415	SRR8330415	ce_krit1_control_rep2	Kri-1 wild type control (N2)	entire organism	24 hours past the L4 state	entire organism
SRR8330416	SRR8330416	ce_krit1_control_rep3	Kri-1 wild type control (N2)	entire organism	24 hours past the L4 state	entire organism
SRR8330417	SRR8330417	ce_ccm3_rep1	Pdcd10 null (ccm3/pdcd10(tm2806) knock-out )	entire organism	24 hours past the L4 state	entire organism
SRR8330418	SRR8330418	ce_ccm3_rep2	Pdcd10 null (ccm3/pdcd10(tm2806) knock-out )	entire organism	24 hours past the L4 state	entire organism
SRR8330419	SRR8330419	ce_ccm3_rep3	Pdcd10 null (ccm3/pdcd10(tm2806) knock-out )	entire organism	24 hours past the L4 state	entire organism
SRR8330420	SRR8330420	ce_ccm3_control_rep1	Pdcd10 wild type control (N2)	entire organism	24 hours past the L4 state	entire organism
SRR8330421	SRR8330421	ce_ccm3_control_rep2	Pdcd10 wild type control (N2)	entire organism	24 hours past the L4 state	entire organism
SRR8330422	SRR8330422	ce_ccm3_control_rep3	Pdcd10 wild type control (N2)	entire organism	24 hours past the L4 state	entire organism
