Run	Condition	description_title	genotype	organism_part	source_name	strain	generation	temperature
SRR8349530	SRR8349530	mRNA_rde-4_Gonads_R1	rde-4(ne299)	gonads	rde-4(ne299)	BFF 12		20
SRR8349531	SRR8349531	mRNA_rde-4_Gonads_R2	rde-4(ne299)	gonads	rde-4(ne299)	BFF 12		20
SRR8349532	SRR8349532	mRNA_rde-4_Gonads_R3	rde-4(ne299)	gonads	rde-4(ne299)	BFF 12		20
SRR8349533	SRR8349533	mRNA_Psng-1_rde-4_SC_Gonads_R1	rde-4(ne299);pigSi3[cb-unc-119(+)Psng-1::rde-4:SL2:yfp]	gonads	rde-4(ne299);pigSi3[cb-unc-119(+)Psng-1::rde-4:SL2:yfp]	BFF 16		20
SRR8349534	SRR8349534	mRNA_Psng-1_rde-4_SC_Gonads_R2	rde-4(ne299);pigSi3[cb-unc-119(+)Psng-1::rde-4:SL2:yfp]	gonads	rde-4(ne299);pigSi3[cb-unc-119(+)Psng-1::rde-4:SL2:yfp]	BFF 16		20
SRR8349535	SRR8349535	mRNA_Psng-1_rde-4_SC_Gonads_R3	rde-4(ne299);pigSi3[cb-unc-119(+)Psng-1::rde-4:SL2:yfp]	gonads	rde-4(ne299);pigSi3[cb-unc-119(+)Psng-1::rde-4:SL2:yfp]	BFF 16		20
SRR8349536	SRR8349536	F3_mRNA_Psng-1_rde-4_SC_Gonads_R1	rde-4 (-)	gonads	rde-4 (-)	BFF 12	F3 of heterozygote BFF16	20
SRR8349537	SRR8349537	F3_mRNA_Psng-1_rde-4_SC_Gonads_R2	rde-4 (-)	gonads	rde-4 (-)	BFF 12	F3 of heterozygote BFF16	20
SRR8349538	SRR8349538	F3_mRNA_Psng-1_rde-4_SC_Gonads_R3	rde-4 (-)	gonads	rde-4 (-)	BFF 12	F3 of heterozygote BFF16	20
SRR8349539	SRR8349539	mRNA_sid-1_rde-4_Gonads_R1	sid-1(qt-9) ; rde-4 (ne299)	gonads	sid-1(qt-9) ; rde-4 (ne299)	BFF 13		20
SRR8349540	SRR8349540	mRNA_sid-1_rde-4_Gonads_R2	sid-1(qt-9) ; rde-4 (ne299)	gonads	sid-1(qt-9) ; rde-4 (ne299)	BFF 13		20
