Run	Condition	description_title	exposed_to	genotype	source_name	developmental_stage
SRR8370105	SRR8370105	N2-OP50 rep1	E. coli OP50 strain	wild type	Wild-type	Young Adult stage
SRR8370106	SRR8370106	N2-OP50 rep2	E. coli OP50 strain	wild type	Wild-type	Young Adult stage
SRR8370107	SRR8370107	N2-OP50 rep3	E. coli OP50 strain	wild type	Wild-type	Young Adult stage
SRR8370108	SRR8370108	N2-OP50 rep4	E. coli OP50 strain	wild type	Wild-type	Young Adult stage
SRR8370109	SRR8370109	hpx-2-OP50 rep1	E. coli OP50 strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
SRR8370110	SRR8370110	hpx-2-OP50 rep2	E. coli OP50 strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
SRR8370111	SRR8370111	hpx-2-OP50 rep3	E. coli OP50 strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
SRR8370112	SRR8370112	hpx-2-OP50 rep4	E. coli OP50 strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
SRR8370113	SRR8370113	N2-OG1RF rep1	E.faecalis OG1RF strain	wild type	Wild-type	Young Adult stage
SRR8370114	SRR8370114	N2-OG1RF rep2	E.faecalis OG1RF strain	wild type	Wild-type	Young Adult stage
SRR8370115	SRR8370115	N2-OG1RF rep3	E.faecalis OG1RF strain	wild type	Wild-type	Young Adult stage
SRR8370116	SRR8370116	N2-OG1RF rep4	E.faecalis OG1RF strain	wild type	Wild-type	Young Adult stage
SRR8370117	SRR8370117	hpx-2-OG1RF rep1	E.faecalis OG1RF strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
SRR8370118	SRR8370118	hpx-2-OG1RF rep2	E.faecalis OG1RF strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
SRR8370119	SRR8370119	hpx-2-OG1RF rep3	E.faecalis OG1RF strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
SRR8370120	SRR8370120	hpx-2-OG1RF rep4	E.faecalis OG1RF strain	hpx-2 CRISPR mutant	hpx-2 CRISPR mutant	Young Adult stage
