Run	Condition	description_title	developmental_stage	genotype	organism_part	source_name
SRR8435655	SRR8435655	117-fem-Day4-OEA073	117 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435656	SRR8435656	117-fem-Day4-OEA091	117 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435657	SRR8435657	117-gem-Day4-OEA090	117 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435658	SRR8435658	117-gem-Day4-OEA106	117 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435659	SRR8435659	137-fem-Day5-OEA074	137 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435660	SRR8435660	137-fem-Day5-OEA141	137 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435661	SRR8435661	137-gem-Day5-OEA094	137 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435662	SRR8435662	137-gem-Day5-OEA110	137 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435663	SRR8435663	257-fem-Day10-OEA143	257 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435664	SRR8435664	257-fem-Day10-OEA145	257 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435665	SRR8435665	257-gem-Day10-OEA142	257 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435666	SRR8435666	257-gem-Day10-OEA144	257 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435667	SRR8435667	41-fem-Day1-OEA093	41 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435668	SRR8435668	41-fem-Day1-OEA117	41 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435669	SRR8435669	41-fem-Day1-OEA136	41 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435670	SRR8435670	41-gem-Day1-OEA092	41 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435671	SRR8435671	41-gem-Day1-OEA116	41 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435672	SRR8435672	41-gem-Day1-OEA135	41 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435673	SRR8435673	49-fem-Day1-OEA066	49 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435674	SRR8435674	49-fem-Day1-OEA079	49 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435675	SRR8435675	49-fem-Day1-OEA098	49 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435676	SRR8435676	49-gem-Day1-OEA097	49 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435677	SRR8435677	49-gem-Day1-OEA107	49 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435678	SRR8435678	65-fem-Day2-OEA068	65 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435679	SRR8435679	65-fem-Day2-OEA101	65 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435680	SRR8435680	65-gem-Day2-OEA080	65 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435681	SRR8435681	65-gem-Day2-OEA100	65 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435682	SRR8435682	65-gem-Day2-OEA122	65 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435683	SRR8435683	73-fem-Day2-OEA070	73 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435684	SRR8435684	73-fem-Day2-OEA083	73 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435685	SRR8435685	73-fem-Day2-OEA105	73 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435686	SRR8435686	73-gem-Day2-OEA075	73 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435687	SRR8435687	73-gem-Day2-OEA082	73 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435688	SRR8435688	73-gem-Day2-OEA104	73 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435689	SRR8435689	89-fem-Day3-OEA072	89 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435690	SRR8435690	89-fem-Day3-OEA127	89 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435691	SRR8435691	89-fem-Day3-OEA129	89 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435692	SRR8435692	89-gem-Day3-OEA085	89 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435693	SRR8435693	89-gem-Day3-OEA113	89 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435694	SRR8435694	89-gem-Day3-OEA128	89 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435695	SRR8435695	97-fem-Day3-OEA088	97 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435696	SRR8435696	97-fem-Day3-OEA133	97 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435697	SRR8435697	97-fem-Day3-OEA140	97 hours	fem-3(q20) IV	whole organism	whole organism
SRR8435698	SRR8435698	97-gem-Day3-OEA087	97 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
SRR8435699	SRR8435699	97-gem-Day3-OEA115	97 hours	gon-2(q388); gem-1(bc364)	whole organism	whole organism
