Run	Sample	Condition		genotype	protocol
SRR8528164	SAMN10869494	Mutant, fed		mutant	fed
SRR8528165	SAMN10869494	Mutant, fed		mutant	fed
SRR8528162	SAMN10869495	Mutant, fed		mutant	fed
SRR8528163	SAMN10869495	Mutant, fed		mutant	fed
SRR8528156	SAMN10869498	Mutant, refed 15h		mutant	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528157	SAMN10869498	Mutant, refed 15h		mutant	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528154	SAMN10869499	Mutant, refed 15h		mutant	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528155	SAMN10869499	Mutant, refed 15h		mutant	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528160	SAMN10869496	Mutant, refed 3h		mutant	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528161	SAMN10869496	Mutant, refed 3h		mutant	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528158	SAMN10869497	Mutant, refed 3h		mutant	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528159	SAMN10869497	Mutant, refed 3h		mutant	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528168	SAMN10869492	Mutant, starved		mutant	starved
SRR8528169	SAMN10869492	Mutant, starved		mutant	starved
SRR8528166	SAMN10869493	Mutant, starved		mutant	starved
SRR8528167	SAMN10869493	Mutant, starved		mutant	starved
SRR8528180	SAMN10869486	Wild type, fed		wild type	fed
SRR8528181	SAMN10869486	Wild type, fed		wild type	fed
SRR8528178	SAMN10869487	Wild type, fed		wild type	fed
SRR8528179	SAMN10869487	Wild type, fed		wild type	fed
SRR8528172	SAMN10869490	Wild type, refed 15h		wild type	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528173	SAMN10869490	Wild type, refed 15h		wild type	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528170	SAMN10869491	Wild type, refed 15h		wild type	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528171	SAMN10869491	Wild type, refed 15h		wild type	refed with C. elegans maintenance medium (CeMM) 15hr
SRR8528176	SAMN10869488	Wild type, refed 3h		wild type	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528177	SAMN10869488	Wild type, refed 3h		wild type	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528174	SAMN10869489	Wild type, refed 3h		wild type	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528175	SAMN10869489	Wild type, refed 3h		wild type	refed with C. elegans maintenance medium (CeMM) 3hr
SRR8528184	SAMN10869484	Wild type, starved		wild type	starved
SRR8528185	SAMN10869484	Wild type, starved		wild type	starved
SRR8528182	SAMN10869485	Wild type, starved		wild type	starved
SRR8528183	SAMN10869485	Wild type, starved		wild type	starved
