Run	Condition	developmental_stage	sample_name	strain	treatment	description_title	organism_part	sex
SRR8711789	CX12311_1	young adult	CX12311_1	CX12311	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711788	CX12311_2	young adult	CX12311_2	CX12311	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711791	CX12311_3	young adult	CX12311_3	CX12311	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711790	LSJ2_1	young adult	LSJ2_1	LSJ2	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711793	LSJ2_2	young adult	LSJ2_2	LSJ2	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711817	LSJ2_3	young adult	LSJ2_3	LSJ2	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711833	N2_2hrHS_1	L4	N2_2hrHS_1	N2	2 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711832	N2_2hrHS_2	L4	N2_2hrHS_2	N2	2 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711831	N2_2hrHS_3	L4	N2_2hrHS_3	N2	2 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711822	N2_2hrHS_R_1	L4	N2_2hrHS_R_1	N2	2 hours heatshock and recovery	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711821	N2_2hrHS_R_2	L4	N2_2hrHS_R_2	N2	2 hours heatshock and recovery	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711800	N2_2hrHS_R_3	L4	N2_2hrHS_R_3	N2	2 hours heatshock and recovery	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711801	N2_4hrHS_1	L4	N2_4hrHS_1	N2	4 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711798	N2_4hrHS_2	L4	N2_4hrHS_2	N2	4 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711799	N2_4hrHS_3	L4	N2_4hrHS_3	N2	4 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
