Run	Condition	breeding_history	sample_name	strain	description_title	developmental_stage	organism_part	sex
SRR8717248	RNAseq_CX12311_1	Near-isogneic line	RNAseq_CX12311_1	CX12311	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717247	RNAseq_CX12311_2	Near-isogneic line	RNAseq_CX12311_2	CX12311	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717249	RNAseq_CX12311_3	Near-isogneic line	RNAseq_CX12311_3	CX12311	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717250	RNAseq_CX12311_4	Near-isogneic line	RNAseq_CX12311_4	CX12311	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717242	RNAseq_rcan-1_NIL1-1	Recombinant inbred line	RNAseq_rcan-1_NIL1-1	PTM413	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717241	RNAseq_rcan-1_NIL1-2	Recombinant inbred line	RNAseq_rcan-1_NIL1-2	PTM413	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717263	RNAseq_rcan-1_NIL1-3	Recombinant inbred line	RNAseq_rcan-1_NIL1-3	PTM413	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717264	RNAseq_rcan-1_NIL1-4	Recombinant inbred line	RNAseq_rcan-1_NIL1-4	PTM413	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717265	RNAseq_rcan-1_NIL2-1	Recombinant inbred line	RNAseq_rcan-1_NIL2-1	PTM414	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717266	RNAseq_rcan-1_NIL2-2	Recombinant inbred line	RNAseq_rcan-1_NIL2-2	PTM414	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717261	RNAseq_rcan-1_NIL2-3	Recombinant inbred line	RNAseq_rcan-1_NIL2-3	PTM414	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
SRR8717262	RNAseq_rcan-1_NIL2-4	Recombinant inbred line	RNAseq_rcan-1_NIL2-4	PTM414	Model organism or animal sample from Caenorhabditis elegans	L4	whole organism	hermaphrodite
