Run	Condition	genotype	title	source_name	strain	temperature
SRR8773547	SRR8773547	set-2(bn129)	set-2 F2 fertile replicate 1	dissected gonads from young adults day 1	PFR541	25 C
SRR8773548	SRR8773548	set-2(bn129)	set-2 F2 fertile replicate 2	dissected gonads from young adults day 1	PFR541	25 C
SRR8773549	SRR8773549	set-2(bn129)	set-2 F2 fertile replicate 3	dissected gonads from young adults day 1	PFR541	25 C
SRR8773550	SRR8773550	set-2(bn129)	set-2 F4 fertile replicate 1	dissected gonads from young adults day 1	PFR541	25 C
SRR8773551	SRR8773551	set-2(bn129)	set-2 F4 fertile replicate 2	dissected gonads from young adults day 1	PFR541	25 C
SRR8773552	SRR8773552	set-2(bn129)	set-2 F4 fertile replicate 3	dissected gonads from young adults day 1	PFR541	25 C
SRR8773553	SRR8773553	set-2(bn129)	set-2 F4 sterile replicate 1	dissected gonads from young adults day 1	PFR541	25 C
SRR8773554	SRR8773554	set-2(bn129)	set-2 F4 sterile replicate 2	dissected gonads from young adults day 1	PFR541	25 C
SRR8773555	SRR8773555	set-2(bn129)	set-2 F4 sterile replicate 3	dissected gonads from young adults day 1	PFR541	25 C
SRR8773556	SRR8773556	set-2(bn129)/qC1	set-2/qC1 P0 replicate 1	dissected gonads from young adults day 1	PFR541	25 C
SRR8773557	SRR8773557	set-2(bn129)/qC1	set-2/qC1 P0 replicate 2	dissected gonads from young adults day 1	PFR541	25 C
SRR8773558	SRR8773558	set-2(bn129)/qC1	set-2/qC1 P0 replicate 3	dissected gonads from young adults day 1	PFR541	25 C
