Run	Condition	source_name	title	developmental_stage	organism_part
SRR8782789	SRR8782789	Caenorhabditis elegans wild-type at 25oC	Wild-type 25oC rep1	Day 1 adult	whole organism
SRR8782790	SRR8782790	Caenorhabditis elegans mdt-15 mutant at 25oC	mdt-15(tm2182) 25oC rep1	Day 1 adult	whole organism
SRR8782791	SRR8782791	Caenorhabditis elegans wild-type at 15oC	Wild-type 15oC rep1	Day 1 adult	whole organism
SRR8782792	SRR8782792	Caenorhabditis elegans mdt-15 mutant at 15oC	mdt-15(tm2182) 15oC rep1	Day 1 adult	whole organism
SRR8782793	SRR8782793	Caenorhabditis elegans wild-type at 25oC	Wild-type 25oC rep2	Day 1 adult	whole organism
SRR8782794	SRR8782794	Caenorhabditis elegans mdt-15 mutant at 25oC	mdt-15(tm2182) 25oC rep2	Day 1 adult	whole organism
SRR8782795	SRR8782795	Caenorhabditis elegans wild-type at 15oC	Wild-type 15oC rep2	Day 1 adult	whole organism
SRR8782796	SRR8782796	Caenorhabditis elegans mdt-15 mutant at 15oC	mdt-15(tm2182) 15oC rep2	Day 1 adult	whole organism
SRR8782797	SRR8782797	Caenorhabditis elegans wild-type at 25oC	Wild-type 25oC rep3	Day 1 adult	whole organism
SRR8782798	SRR8782798	Caenorhabditis elegans mdt-15 mutant at 25oC	mdt-15(tm2182) 25oC rep3	Day 1 adult	whole organism
SRR8782799	SRR8782799	Caenorhabditis elegans wild-type at 15oC	Wild-type 15oC rep3	Day 1 adult	whole organism
SRR8782800	SRR8782800	Caenorhabditis elegans mdt-15 mutant at 15oC	mdt-15(tm2182) 15oC rep3	Day 1 adult	whole organism
