Run	Sample	Condition	description_title	developtmental_stage	genotype	strain	source_name
SRR8882169	SAMN11397591	SAMN11397591	sftb-1(cer6) rep2	L2 stage	cer6 is a deletion allele		synchronized animal population
SRR8882170	SAMN11397591	SAMN11397591	sftb-1(cer6) rep2	L2 stage	cer6 is a deletion allele		synchronized animal population
SRR8882167	SAMN11397592	SAMN11397592	sftb-1(cer6) rep1	L2 stage	cer6 is a deletion allele		synchronized animal population
SRR8882168	SAMN11397592	SAMN11397592	sftb-1(cer6) rep1	L2 stage	cer6 is a deletion allele		synchronized animal population
SRR8882165	SAMN11397593	SAMN11397593	sftb-1(cer39) rep2	L2 stage	cer39[K718E,R643C,Q552P]		synchronized animal population
SRR8882166	SAMN11397593	SAMN11397593	sftb-1(cer39) rep2	L2 stage	cer39[K718E,R643C,Q552P]		synchronized animal population
SRR8882163	SAMN11397594	SAMN11397594	sftb-1(cer39) rep1	L2 stage	cer39[K718E,R643C,Q552P]		synchronized animal population
SRR8882164	SAMN11397594	SAMN11397594	sftb-1(cer39) rep1	L2 stage	cer39[K718E,R643C,Q552P]		synchronized animal population
SRR8882161	SAMN11397595	SAMN11397595	WT-L2 rep2	L2 stage	wild type	N2	synchronized animal population
SRR8882162	SAMN11397595	SAMN11397595	WT-L2 rep2	L2 stage	wild type	N2	synchronized animal population
SRR8882159	SAMN11397596	SAMN11397596	WT-L2 rep1	L2 stage	wild type	N2	synchronized animal population
SRR8882160	SAMN11397596	SAMN11397596	WT-L2 rep1	L2 stage	wild type	N2	synchronized animal population
SRR8882155	SRR8882155	SRR8882155	WT-L4 rep1	L4 stage	wild type	N2 from cer3 outcross	synchronized animal population
SRR8882156	SRR8882156	SRR8882156	WT-L4 rep2	L4 stage	wild type	N2 from cer7 outcross	synchronized animal population
SRR8882157	SRR8882157	SRR8882157	sftb-1(cer3) rep1	L4 stage	cer3[K718E]		synchronized animal population
SRR8882158	SRR8882158	SRR8882158	sftb-1(cer7) rep2	L4 stage	cer7[K718E]		synchronized animal population
