Run	Condition	description_title	drug	source_name
SRR8987669	SRR8987669	Ceben1DMSO1	DMSO	Mixed stages of larva
SRR8987670	SRR8987670	Ceben1ABZ3	ABZ	Mixed stages of larva
SRR8987671	SRR8987671	Ceben1DMSO3	DMSO	Mixed stages of larva
SRR8987672	SRR8987672	Ceben1ABZ2	ABZ	Mixed stages of larva
SRR8987673	SRR8987673	Ceben1DMSO2	DMSO	Mixed stages of larva
SRR8987674	SRR8987674	Ceben1ABZ1	ABZ	Mixed stages of larva
SRR8987675	SRR8987675	Ceben1TBZ2	TBZ	Mixed stages of larva
SRR8987676	SRR8987676	Ceben1MBZ1	MBZ	Mixed stages of larva
SRR8987677	SRR8987677	Ceben1TBZ3	TBZ	Mixed stages of larva
SRR8987678	SRR8987678	Ceben1TBZ4	TBZ	Mixed stages of larva
SRR8987679	SRR8987679	Ceben1MBZ2	MBZ	Mixed stages of larva
SRR8987680	SRR8987680	Ceben1MBZ3	MBZ	Mixed stages of larva
SRR8987681	SRR8987681	Ceben1FBZ1	FBZ	Mixed stages of larva
SRR8987682	SRR8987682	Ceben1FBZ2	FBZ	Mixed stages of larva
SRR8987683	SRR8987683	Ceben1FBZ3	FBZ	Mixed stages of larva
SRR8987684	SRR8987684	Ceben1OxBZ1	OxBZ	Mixed stages of larva
SRR8987685	SRR8987685	Ceben1OxBZ3	OxBZ	Mixed stages of larva
SRR8987686	SRR8987686	Ceben1OxBZ2	OxB	Mixed stages of larva
