Run	Condition	developmental_stage	title	source_name	strain
SRR9023563	SRR9023563	5h	RNAseq N2 5h	synchronized population	N2
SRR9023564	SRR9023564	6h	RNAseq N2 6h	synchronized population	N2
SRR9023565	SRR9023565	7h	RNAseq N2 7h	synchronized population	N2
SRR9023566	SRR9023566	8h	RNAseq N2 8h	synchronized population	N2
SRR9023567	SRR9023567	9h	RNAseq N2 9h	synchronized population	N2
SRR9023568	SRR9023568	10h	RNAseq N2 10h	synchronized population	N2
SRR9023569	SRR9023569	11h	RNAseq N2 11h	synchronized population	N2
SRR9023570	SRR9023570	12h	RNAseq N2 12h	synchronized population	N2
SRR9023571	SRR9023571	13h	RNAseq N2 13h	synchronized population	N2
SRR9023572	SRR9023572	14h	RNAseq N2 14h	synchronized population	N2
SRR9023573	SRR9023573	15h	RNAseq N2 15h	synchronized population	N2
SRR9023574	SRR9023574	16h	RNAseq N2 16h	synchronized population	N2
SRR9023575	SRR9023575	17h	RNAseq N2 17h	synchronized population	N2
SRR9023576	SRR9023576	18h	RNAseq N2 18h	synchronized population	N2
SRR9023577	SRR9023577	19h	RNAseq N2 19h	synchronized population	N2
SRR9023578	SRR9023578	20h	RNAseq N2 20h	synchronized population	N2
SRR9023579	SRR9023579	21h	RNAseq N2 21h	synchronized population	N2
SRR9023580	SRR9023580	22h	RNAseq N2 22h	synchronized population	N2
SRR9023581	SRR9023581	23h	RNAseq N2 23h	synchronized population	N2
SRR9023582	SRR9023582	24h	RNAseq N2 24h	synchronized population	N2
SRR9023583	SRR9023583	25h	RNAseq N2 25h	synchronized population	N2
SRR9023584	SRR9023584	26h	RNAseq N2 26h	synchronized population	N2
SRR9023585	SRR9023585	27h	RNAseq N2 27h	synchronized population	N2
SRR9023586	SRR9023586	28h	RNAseq N2 28h	synchronized population	N2
SRR9023587	SRR9023587	29h	RNAseq N2 29h	synchronized population	N2
SRR9023588	SRR9023588	30h	RNAseq N2 30h	synchronized population	N2
SRR9023589	SRR9023589	31h	RNAseq N2 31h	synchronized population	N2
SRR9023590	SRR9023590	32h	RNAseq N2 32h	synchronized population	N2
SRR9023591	SRR9023591	33h	RNAseq N2 33h	synchronized population	N2
SRR9023592	SRR9023592	34h	RNAseq N2 34h	synchronized population	N2
SRR9023593	SRR9023593	35h	RNAseq N2 35h	synchronized population	N2
SRR9023594	SRR9023594	36h	RNAseq N2 36h	synchronized population	N2
SRR9023595	SRR9023595	37h	RNAseq N2 37h	synchronized population	N2
SRR9023596	SRR9023596	38h	RNAseq N2 38h	synchronized population	N2
SRR9023597	SRR9023597	39h	RNAseq N2 39h	synchronized population	N2
SRR9023598	SRR9023598	40h	RNAseq N2 40h	synchronized population	N2
SRR9023599	SRR9023599	41h	RNAseq N2 41h	synchronized population	N2
SRR9023600	SRR9023600	42h	RNAseq N2 42h	synchronized population	N2
SRR9023601	SRR9023601	43h	RNAseq N2 43h	synchronized population	N2
SRR9023602	SRR9023602	44h	RNAseq N2 44h	synchronized population	N2
SRR9023603	SRR9023603	45h	RNAseq N2 45h	synchronized population	N2
SRR9023604	SRR9023604	46h	RNAseq N2 46h	synchronized population	N2
SRR9023605	SRR9023605	47h	RNAseq N2 47h	synchronized population	N2
SRR9023606	SRR9023606	48h	RNAseq N2 48h	synchronized population	N2
