Run	Condition	description_title	genotype	source_name	developmental_stage	organism_part	strain
SRR9137766	SRR9137766	N2 20C rep1	wild type	Wild type N2 grow at 20oC	day 1 adult	whole organism	N2
SRR9137767	SRR9137767	ets-4 20C rep1	ets-4(rrr16) X.	ets-4 mutant grow at 20oC	day 1 adult	whole organism	N2
SRR9137768	SRR9137768	ets-4/daf-16 20C rep1	ets-4(rrr16) X./daf-16(mu86) I.	ets-4/daf-16 double mutant grow at 20oC	day 1 adult	whole organism	N2
SRR9137769	SRR9137769	ets-4/pqm-1 20C rep1	ets-4(rrr16) X./pqm-1(ok485) II.	ets-4/pqm-1 double mutant grow at 20oC	day 1 adult	whole organism	N2
SRR9137770	SRR9137770	N2 20C rep2	wild type	Wild type N2 grow at 20oC	day 1 adult	whole organism	N2
SRR9137771	SRR9137771	ets-4 20C rep2	ets-4(rrr16) X.	ets-4 mutant grow at 20oC	day 1 adult	whole organism	N2
SRR9137772	SRR9137772	ets-4/daf-16 20C rep2	ets-4(rrr16) X./daf-16(mu86) I.	ets-4/daf-16 double mutant grow at 20oC	day 1 adult	whole organism	N2
SRR9137773	SRR9137773	ets-4/pqm-1 20C rep2	ets-4(rrr16) X./pqm-1(ok485) II.	ets-4/pqm-1 double mutant grow at 20oC	day 1 adult	whole organism	N2
SRR9137774	SRR9137774	N2 24h4C rep1	wild type	Wild type N2 grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
SRR9137775	SRR9137775	ets-4 24h4C rep1	ets-4(rrr16) X.	ets-4 mutant grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
SRR9137776	SRR9137776	ets-4/daf-16 24h4C rep1	ets-4(rrr16) X./daf-16(mu86) I.	ets-4/daf-16 double mutant grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
SRR9137777	SRR9137777	ets-4/pqm-1 24h4C rep1	ets-4(rrr16) X./pqm-1(ok485) II.	ets-4/pqm-1 double mutant grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
SRR9137778	SRR9137778	N2 24h4C rep2	wild type	Wild type N2 grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
SRR9137779	SRR9137779	ets-4 24h4C rep2	ets-4(rrr16) X.	ets-4 mutant grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
SRR9137780	SRR9137780	ets-4/daf-16 24h4C rep2	ets-4(rrr16) X./daf-16(mu86) I.	ets-4/daf-16 double mutant grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
SRR9137781	SRR9137781	ets-4/pqm-1 24h4C rep2	ets-4(rrr16) X./pqm-1(ok485) II.	ets-4/pqm-1 double mutant grow at 20oC with 24 hours 4oC treatment	day 1 adult	whole organism	N2
