Run	Sample	Condition	source_name	title	organism_part
SRR9163523	SAMN11895833	SAMN11895833	daf-1(m40)	daf1_b1	whole organism
SRR9163524	SAMN11895833	SAMN11895833	daf-1(m40)	daf1_b1	whole organism
SRR9163517	SAMN11895836	SAMN11895836	N2 wild type	N2_b1	whole organism
SRR9163518	SAMN11895836	SAMN11895836	N2 wild type	N2_b1	whole organism
SRR9163533	SAMN11895858	SAMN11895858	daf-1(m40);daf-3(mgDf90)	daf1_3_b3	whole organism
SRR9163534	SAMN11895858	SAMN11895858	daf-1(m40);daf-3(mgDf90)	daf1_3_b3	whole organism
SRR9163531	SAMN11895859	SAMN11895859	daf-1(m40);daf-3(mgDf90)	daf1_3_b2	whole organism
SRR9163532	SAMN11895859	SAMN11895859	daf-1(m40);daf-3(mgDf90)	daf1_3_b2	whole organism
SRR9163529	SAMN11895860	SAMN11895860	daf-1(m40);daf-3(mgDf90)	daf1_3_b1	whole organism
SRR9163530	SAMN11895860	SAMN11895860	daf-1(m40);daf-3(mgDf90)	daf1_3_b1	whole organism
SRR9163527	SAMN11895861	SAMN11895861	daf-1(m40)	daf1_b3	whole organism
SRR9163528	SAMN11895861	SAMN11895861	daf-1(m40)	daf1_b3	whole organism
SRR9163525	SAMN11895862	SAMN11895862	daf-1(m40)	daf1_b2	whole organism
SRR9163526	SAMN11895862	SAMN11895862	daf-1(m40)	daf1_b2	whole organism
SRR9163519	SRR9163519	SRR9163519	N2 wild type	N2_b2	whole organism
SRR9163522	SRR9163522	SRR9163522	N2 wild type	N2_b3	whole organism
